GeneID	GeneName	GeneDescription
AGAP001011		
AGAP001012	Or36	odorant receptor 36 [Source:VB Community Annotation]
AGAP001013		
AGAP001014		
AGAP001015		notch gene homolog 1 [Source:VB Community Annotation]
AGAP001018		
AGAP001019		polycomb-like protein 2 [Source:VB Community Annotation]
AGAP001021		dihydropyrimidine dehydrogenase (NADP+) [Source:VB Community Annotation]
AGAP001022	GPRCCK1	putative gastrin/cholecystokinin receptor 1 [Source:VB Community Annotation]
AGAP001023		myofilin variant B [Source:VB Community Annotation]
AGAP001024		
AGAP001025		protein msta, isoform A [Source:VB Community Annotation]
AGAP001026		carboxypeptidase A [Source:VB Community Annotation]
AGAP001027		sugar transporter ERD6-like 7 [Source:VB Community Annotation]
AGAP001028		
AGAP001029		
AGAP001030		
AGAP001031		INO80 complex subunit E [Source:VB Community Annotation]
AGAP001032		Interferon-related developmental regulator 1 [Source:VB Community Annotation]
AGAP001033		Protein mab-21-like [Source:UniProtKB/Swiss-Prot;Acc:Q7QHX4]
AGAP001034	mab-21	Protein mab-21 [Source:UniProtKB/Swiss-Prot;Acc:Q5TW90]
AGAP001035		rapamycin-insensitive companion of mTOR [Source:VB Community Annotation]
AGAP001036		G protein beta subunit-like [Source:VB Community Annotation]
AGAP001037		Xaa-Pro aminopeptidase [Source:VB Community Annotation]
AGAP001038		cholesterol 7-dehydrogenase [Source:VB Community Annotation]
AGAP001039	CYP307A1	cytochrome P450 [Source:VB Community Annotation]
AGAP001040		
AGAP001041		E3 ubiquitin-protein ligase MARCH5 [Source:VB Community Annotation]
AGAP001042		cytochrome b5 domain-containing protein 2 homolog [Source:VB Community Annotation]
AGAP001043	arm	Armadillo segment polarity protein [Source:UniProtKB/Swiss-Prot;Acc:Q7QHW5]
AGAP001044		
AGAP001045		DNA-directed RNA polymerase I subunit RPA49 [Source:VB Community Annotation]
AGAP001046		Abl interactor 2 [Source:VB Community Annotation]
AGAP001047		inositol polyphosphate 1-phosphatase [Source:VB Community Annotation]
AGAP001048		
AGAP001050		chondroitin polymerizing factor [Source:VB Community Annotation]
AGAP001051		
AGAP001052		ubiquitin carboxyl-terminal hydrolase 2/21 [Source:VB Community Annotation]
AGAP001053		
AGAP001056		ubiquitin-conjugating enzyme E2 L3 [Source:VB Community Annotation]
AGAP001057		ATP-dependent RNA helicase DDX10/DBP4 [Source:VB Community Annotation]
AGAP001058		palmitoyl-protein thioesterase [Source:VB Community Annotation]
AGAP001061		
AGAP001064		Transmembrane emp24 domain-containing protein 10 precursor [Source:VB Community Annotation]
AGAP001065		glycine hydroxymethyltransferase [Source:VB Community Annotation]
AGAP001067		
AGAP001068		ubiquitin-conjugating enzyme E2 H [Source:VB Community Annotation]
AGAP001069		
AGAP001070		DnaJ-like protein subfamily C [Source:VB Community Annotation]
AGAP001072		
AGAP001073		
AGAP001076	CYP4G16	cytochrome P450 [Source:VB Community Annotation]
AGAP001078		
AGAP001079		
AGAP001081		Wiskott-Aldrich syndrome protein [Source:VB Community Annotation]
AGAP001082		saposin [Source:VB Community Annotation]
AGAP001083		
AGAP001084		Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:Q7Q2V5]
AGAP001085		
AGAP001087		
AGAP001088		
AGAP001089		
AGAP001090		Breast carcinoma amplified sequence 3 [Source:VB Community Annotation]
AGAP001091		N-terminal kinase-like protein [Source:VB Community Annotation]
AGAP001092		
AGAP001093		fos-like antigen, invertebrate [Source:VB Community Annotation]
AGAP001094	run	runt [Source:VB Community Annotation]
AGAP001096		
AGAP001097		Elongation of very long chain fatty acids protein [Source:UniProtKB/TrEMBL;Acc:Q7PKF8]
AGAP001098		DAMOX [Source:VB Community Annotation]
AGAP001099		Polybromo-1 [Source:VB Community Annotation]
AGAP001100		
AGAP001101	COEBE2O	carboxylesterase [Source:VB Community Annotation]
AGAP001102		C-myc promoter-binding protein [Source:VB Community Annotation]
AGAP001103		mitogen-activated protein kinase kinase 1 [Source:VB Community Annotation]
AGAP001104		chromatin assembly factor 1 subunit A [Source:VB Community Annotation]
AGAP001106		Disconnected protein [Source:VB Community Annotation]
AGAP001107		
AGAP001108		mitochondrial import inner membrane translocase subunit TIM50-C [Source:VB Community Annotation]
AGAP001109		protein-tyrosine phosphatase [Source:VB Community Annotation]
AGAP001110		Sorting nexin family member 27 isoform 1 [Source:VB Community Annotation]
AGAP001111		
AGAP001112		
AGAP001113		A disintegrin and metalloproteinase with thrombospondin motifs 18 [Source:VB Community Annotation]
AGAP001114	Gr38	gustatory receptor 38 [Source:VB Community Annotation]
AGAP001115	Gr42	gustatory receptor 42 [Source:VB Community Annotation]
AGAP001116		D-amino-acid oxidase [Source:VB Community Annotation]
AGAP001117	Gr37	gustatory receptor 37 [Source:VB Community Annotation]
AGAP001118		
AGAP001119	Gr39	gustatory receptor 39 [Source:VB Community Annotation]
AGAP001120	Gr40	gustatory receptor 40 [Source:VB Community Annotation]
AGAP001121	Gr60	gustatory receptor 60 [Source:VB Community Annotation]
AGAP001122	Gr41	gustatory receptor 41 [Source:VB Community Annotation]
AGAP001123	Gr36	gustatory receptor 36 [Source:VB Community Annotation]
AGAP001124		Aminomethyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7PWZ1]
AGAP001125	Gr58	gustatory receptor 58 [Source:VB Community Annotation]
AGAP001126		defective proboscis extension response [Source:VB Community Annotation]
AGAP001127		P37NB protein [Source:VB Community Annotation]
AGAP001130		poly(A) RNA polymerase GLD2 [Source:VB Community Annotation]
AGAP001132		
AGAP001133		regulator of nonsense transcripts 1 [Source:VB Community Annotation]
AGAP001134	mRpS30	28S ribosomal protein S30, mitochondrial [Source:VB Community Annotation]
AGAP001135		DNA replication licensing factor MCM3 [Source:VB Community Annotation]
AGAP001136		tetratricopeptide repeat protein 35 [Source:VB Community Annotation]
AGAP001137	Gr59	gustatory receptor 59 [Source:VB Community Annotation]
AGAP001138		F-type H+-transporting ATPase subunit b [Source:VB Community Annotation]
AGAP001139	mRpL19	39S ribosomal protein L19, mitochondrial [Source:VB Community Annotation]
AGAP001140		
AGAP001141		
AGAP001143		histone deacetylase 3 [Source:VB Community Annotation]
AGAP001144		
AGAP001145		pre-mRNA-splicing factor 38A [Source:VB Community Annotation]
AGAP001146		U3 small nucleolar RNA-associated protein 12 [Source:VB Community Annotation]
AGAP001147		
AGAP001148		
AGAP001149		protein MAK11 [Source:VB Community Annotation]
AGAP001150		
AGAP001151		14-3-3 protein epsilon [Source:VB Community Annotation]
AGAP001152		GPN-loop GTPase 3 [Source:VB Community Annotation]
AGAP001153		Polymerase delta-interacting protein 2 [Source:VB Community Annotation]
AGAP001154		SWI/SNF-related matrix-associated actin-dependent regulator of chromatin [Source:VB Community Annotation]
AGAP001156		
AGAP001157		
AGAP001158		
AGAP001159		WD repeat-containing protein 24 [Source:VB Community Annotation]
AGAP001160		
AGAP001161	GPROP6	long wavelength sensitive opsin [Source:VB Community Annotation]
AGAP001162	GPROP5	long wavelength sensitive opsin [Source:VB Community Annotation]
AGAP001165		zinc finger protein DZIP1 [Source:VB Community Annotation]
AGAP001166		GINS complex subunit 4 [Source:VB Community Annotation]
AGAP001167		pre-rRNA-processing protein TSR2 [Source:VB Community Annotation]
AGAP001168		
AGAP001169	Gr49	gustatory receptor 49 [Source:VB Community Annotation]
AGAP001170	Gr48	gustatory receptor 48 [Source:VB Community Annotation]
AGAP001171	Gr50	gustatory receptor 50 [Source:VB Community Annotation]
AGAP001172	Gr51	gustatory receptor 51 [Source:VB Community Annotation]
AGAP001173	Gr52	gustatory receptor 52 [Source:VB Community Annotation]
AGAP001174		14.5 kDa salivary peptide [Source:VB Community Annotation]
AGAP001175	GPRCAL2	putative calcitonin receptor 2 [Source:VB Community Annotation]
AGAP001176		
AGAP001177		Ca2+-triggered coelenterazine-binding protein 1 [Source:VB Community Annotation]
AGAP001179		nuclear pore complex protein Nup88 [Source:VB Community Annotation]
AGAP001181		
AGAP001182		
AGAP001183		Pyrimidine-specific ribonucleoside hydrolase rihA [Source:VB Community Annotation]
AGAP001184		ganglioside GM2 activator [Source:VB Community Annotation]
AGAP001185		sodium-coupled monocarboxylate transporter 1 [Source:VB Community Annotation]
AGAP001187		Homeobox protein cut-like [Source:UniProtKB/TrEMBL;Acc:Q380C3]
AGAP001189	OBP10	odorant-binding protein 10 [Source:VB Community Annotation]
AGAP001190		female reproductive tract protease GLEANR_896 [Source:VB Community Annotation]
AGAP001192		
AGAP001193		
AGAP001194		
AGAP001195	Cbp80	Nuclear cap-binding protein subunit 1 [Source:UniProtKB/Swiss-Prot;Acc:Q7PX35]
AGAP001196		Enn protein [Source:VB Community Annotation]
AGAP001197	GALE10	galectin 10 [Source:VB Community Annotation]
AGAP001198		chymotrypsin [Source:VB Community Annotation]
AGAP001199		serine protease [Source:VB Community Annotation]
AGAP001200		glycogen debranching enzyme [Source:VB Community Annotation]
AGAP001201		defective proboscis extension response [Source:VB Community Annotation]
AGAP001202		organic cation transporter [Source:VB Community Annotation]
AGAP001203		
AGAP001205		chitin synthase [Source:VB Community Annotation]
AGAP001206		
AGAP001207		COMM domain-containing protein 4 [Source:VB Community Annotation]
AGAP001208		
AGAP001209		ubiquitin carboxyl-terminal hydrolase 6/32 [Source:VB Community Annotation]
AGAP001211		Ras-related protein Rab-8A [Source:VB Community Annotation]
AGAP001212	PGRPLB	peptidoglycan recognition protein (long) [Source:VB Community Annotation]
AGAP001213		
AGAP001214		
AGAP001215		tetratricopeptide repeat protein 39C [Source:VB Community Annotation]
AGAP001217		soluble calcium-activated nucleotidase 1 [Source:VB Community Annotation]
AGAP001218		tubulin alpha-4A chain [Source:VB Community Annotation]
AGAP001219	TUB4A	tubulin alpha-4A chain [Source:VB Community Annotation]
AGAP001220		NAD-dependent deacetylase sirtuin 7 [Source:VB Community Annotation]
AGAP001222		
AGAP001223		ATP-dependent RNA helicase DDX55/SPB4 [Source:VB Community Annotation]
AGAP001224		cleavage and polyadenylation specificity factor subunit 3 [Source:VB Community Annotation]
AGAP001225		
AGAP001226		
AGAP001227		gamma-tubulin complex component 5 [Source:VB Community Annotation]
AGAP001228		DNA-directed RNA polymerase II subunit RPB4 [Source:VB Community Annotation]
AGAP001229		dynein light chain Tctex-type 1 [Source:VB Community Annotation]
AGAP001230		
AGAP001231		
AGAP001232		alpha-1,3/alpha-1, 6-mannosyltransferase [Source:VB Community Annotation]
AGAP001233		
AGAP001234		Activating signal cointegrator 1 complex subunit 3 [Source:VB Community Annotation]
AGAP001235		phosphatidylserine decarboxylase [Source:VB Community Annotation]
AGAP001236		Sugar transporter ERD6-like 6 [Source:VB Community Annotation]
AGAP001237	Med29	Mediator of RNA polymerase II transcription subunit 29 [Source:UniProtKB/Swiss-Prot;Acc:Q7PUD7]
AGAP001238		Ras-specific guanine nucleotide-releasing factor 2 [Source:VB Community Annotation]
AGAP001239		defective proboscis extension response [Source:VB Community Annotation]
AGAP001240	SP11372	
AGAP001241		eupolytin [Source:VB Community Annotation]
AGAP001242		defective proboscis extension response [Source:VB Community Annotation]
AGAP001243		
AGAP001244		eupolytin [Source:VB Community Annotation]
AGAP001245		eupolytin [Source:VB Community Annotation]
AGAP001246		eupolytin [Source:VB Community Annotation]
AGAP001247		eupolytin [Source:VB Community Annotation]
AGAP001248		eupolytin [Source:VB Community Annotation]
AGAP001249		eupolytin [Source:VB Community Annotation]
AGAP001250		eupolytin [Source:VB Community Annotation]
AGAP001251		eupolytin [Source:VB Community Annotation]
AGAP001252		eupolytin [Source:VB Community Annotation]
AGAP001253		
AGAP001255		
AGAP001256		3'-phosphoadenosine 5'-phosphosulfate synthase [Source:VB Community Annotation]
AGAP001257		UTP--glucose-1-phosphate uridylyltransferase [Source:VB Community Annotation]
AGAP001258		
AGAP001259		
AGAP001261		L-caldesmon [Source:VB Community Annotation]
AGAP001264		Plasma glutamate carboxypeptidase [Source:VB Community Annotation]
AGAP001265		solute carrier family 7 (cationic amino acid transporter), member 14 [Source:VB Community Annotation]
AGAP001267		Adaptor-related protein complex 2, beta 1 subunit [Source:VB Community Annotation]
AGAP001268		
AGAP001269		
AGAP001270		
AGAP001271		pre-mRNA cleavage complex 2 protein Pcf11 [Source:VB Community Annotation]
AGAP001272		
AGAP001273		karyopherin (importin) alpha 4 [Source:VB Community Annotation]
AGAP001274	RpS15	40S ribosomal protein S15 [Source:VB Community Annotation]
AGAP001275		
AGAP001276		asparaginyl-tRNA synthetase [Source:VB Community Annotation]
AGAP001277		
AGAP001278		Cysteine-rich hydrophobic domain 2 [Source:VB Community Annotation]
AGAP001279		protein phosphatase 3, catalytic subunit [Source:VB Community Annotation]
AGAP001281		potassium inwardly-rectifying channel subfamily J [Source:VB Community Annotation]
AGAP001283		potassium inwardly-rectifying channel subfamily J [Source:VB Community Annotation]
AGAP001284		potassium inwardly-rectifying channel subfamily J [Source:VB Community Annotation]
AGAP001285		charged multivesicular body protein 2A [Source:VB Community Annotation]
AGAP001286		integrator complex subunit 4 [Source:VB Community Annotation]
AGAP001287		
AGAP001290		replication factor C subunit 1 [Source:VB Community Annotation]
AGAP001291		zinc finger protein ZIC, invertebrate [Source:VB Community Annotation]
AGAP001292		
AGAP001293		
AGAP001294		
AGAP001296		E3 ubiquitin-protein ligase TRIP12 [Source:VB Community Annotation]
AGAP001297		solute carrier family 25 [Source:VB Community Annotation]
AGAP001298		
AGAP001299		mannose-1-phosphate guanylyltransferase [Source:VB Community Annotation]
AGAP001300		
AGAP001301		Bardet-Biedl syndrome 5 protein [Source:VB Community Annotation]
AGAP001302		RNA polymerase II-associated factor 1 [Source:VB Community Annotation]
AGAP001303	SAP1	chemosensory protein 6 [Source:VB Community Annotation]
AGAP001306		actin related protein 2/3 complex, subunit 4 [Source:VB Community Annotation]
AGAP001307		ubiquitin fusion degradation protein 1 [Source:VB Community Annotation]
AGAP001308		coiled-coil domain-containing protein 64 [Source:VB Community Annotation]
AGAP001309		
AGAP001310		Protein-S-isoprenylcysteine O-methyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7PXA7]
AGAP001311	mRpL20	39S ribosomal protein L20, mitochondrial [Source:VB Community Annotation]
AGAP001312		succinyl-CoA synthetase alpha subunit [Source:VB Community Annotation]
AGAP001313		Muscular protein 20 [Source:VB Community Annotation]
AGAP001314		
AGAP001315		
AGAP001316		
AGAP001318		acetyl-CoA C-acetyltransferase [Source:VB Community Annotation]
AGAP001319		5'-nucleotidase domain-containing protein 1 [Source:VB Community Annotation]
AGAP001320		golgi apparatus protein 1 [Source:VB Community Annotation]
AGAP001321		
AGAP001322		
AGAP001323		
AGAP001324		Erythroid differentiation-related factor 1 [Source:VB Community Annotation]
AGAP001325		peroxiredoxin 5, atypical 2-Cys peroxiredoxin [Source:VB Community Annotation]
AGAP001326		mitotic spindle assembly checkpoint protein MAD2B [Source:VB Community Annotation]
AGAP001328		tripartite motif-containing protein 33 [Source:VB Community Annotation]
AGAP001329	CPLCX1	cuticular protein unclassified [Source:VB Community Annotation]
AGAP001330		furin [Source:VB Community Annotation]
AGAP001331		
AGAP001332		
AGAP001333	st	protein scarlet [Source:VB Community Annotation]
AGAP001334		
AGAP001335		dynein light chain LC8-type [Source:VB Community Annotation]
AGAP001336		
AGAP001337		
AGAP001338		DEAH (Asp-Glu-Ala-His) box polypeptide 34 [Source:VB Community Annotation]
AGAP001339		phosphatidylinositol glycan, class V [Source:VB Community Annotation]
AGAP001340		
AGAP001341		bleomycin hydrolase [Source:VB Community Annotation]
AGAP001342		
AGAP001343		fatty acyl-CoA reductase 2 [Source:VB Community Annotation]
AGAP001344		
AGAP001345		hexamerin [Source:VB Community Annotation]
AGAP001346		
AGAP001347		
AGAP001348		
AGAP001349		chronic lymphocytic leukemia deletion region gene 6 protein-like protein [Source:VB Community Annotation]
AGAP001352		
AGAP001353		
AGAP001354		
AGAP001355		
AGAP001356	ACE1	Acetylcholinesterase [Source:UniProtKB/Swiss-Prot;Acc:Q869C3]
AGAP001357		beta-catenin-like protein 1 [Source:VB Community Annotation]
AGAP001358		
AGAP001360		
AGAP001361		WD repeat-containing protein [Source:VB Community Annotation]
AGAP001362		polyadenylation factor subunit 2 [Source:VB Community Annotation]
AGAP001363		cohesin loading complex subunit SCC4 homolog [Source:VB Community Annotation]
AGAP001364		Ubiquitin-fold modifier 1 [Source:UniProtKB/Swiss-Prot;Acc:Q7PXE2]
AGAP001365		
AGAP001366		
AGAP001367		beta-1,3-glucuronyltransferase [Source:VB Community Annotation]
AGAP001368		
AGAP001369		
AGAP001370		Ras association domain-containing protein 7/8 [Source:VB Community Annotation]
AGAP001371		D-tyrosyl-tRNA(Tyr) deacylase [Source:VB Community Annotation]
AGAP001372		
AGAP001373		Inhibitor of growth protein [Source:UniProtKB/TrEMBL;Acc:Q7PXF0]
AGAP001374	trio	TRIO salivary gland protein [Source:VB Community Annotation]
AGAP001375	SRPN12	serine protease inhibitor (serpin) 12 [Source:VB Community Annotation]
AGAP001376	SRPN17	serine protease inhibitor (serpin) 17 [Source:VB Community Annotation]
AGAP001377	SRPN11	serine protease inhibitor (serpin) 11 [Source:VB Community Annotation]
AGAP001379	GPRCCK2	putative gastrin/cholecystokinin receptor 2 [Source:VB Community Annotation]
AGAP001380		translation initiation factor 6 [Source:VB Community Annotation]
AGAP001381		laminin, beta 1 [Source:VB Community Annotation]
AGAP001382	DH31	diuretic hormone 31 [Source:VB Community Annotation]
AGAP001384		protein kinase A [Source:VB Community Annotation]
AGAP001386		remodeling and spacing factor 1 [Source:VB Community Annotation]
AGAP001387		
AGAP001388		
AGAP001389		homeobox protein HEX [Source:VB Community Annotation]
AGAP001390		
AGAP001391		tetracycline transporter [Source:VB Community Annotation]
AGAP001392		
AGAP001393	Sgf11	SAGA-associated factor 11 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7PXG4]
AGAP001394		synaptosomal-associated protein, 23kDa [Source:VB Community Annotation]
AGAP001395		Protease, serine [Source:VB Community Annotation]
AGAP001396		inositol monophosphatase 3 [Source:VB Community Annotation]
AGAP001397		zinc metalloproteinase YIL108W [Source:VB Community Annotation]
AGAP001398		
AGAP001399		Coatomer subunit beta [Source:UniProtKB/TrEMBL;Acc:Q7PXG9]
AGAP001400		
AGAP001401		optic atrophy 3 family protein [Source:VB Community Annotation]
AGAP001402		CAS1 domain-containing protein 1 [Source:VB Community Annotation]
AGAP001403		protein Mpv17 [Source:VB Community Annotation]
AGAP001404		DNA polymerase eta [Source:VB Community Annotation]
AGAP001405		Retinol dehydrogenase 13 (all-trans and 9-cis) [Source:VB Community Annotation]
AGAP001406	wuho	tRNA (guanine-N(7)-)-methyltransferase subunit wuho [Source:VB Community Annotation]
AGAP001407		26S proteasome regulatory subunit T4 [Source:VB Community Annotation]
AGAP001408	RpL35	60S ribosomal protein L35 [Source:VB Community Annotation]
AGAP001409	OBP3	odorant-binding protein antennal 3 [Source:VB Community Annotation]
AGAP001410		Sidestep protein [Source:VB Community Annotation]
AGAP001411		BCL2/adenovirus E1B 19 kDa protein-interacting protein 3 [Source:VB Community Annotation]
AGAP001412		Hedgehog protein [Source:UniProtKB/TrEMBL;Acc:Q7PXI1]
AGAP001413		
AGAP001414		WD40 repeat-containing protein SMU1 [Source:VB Community Annotation]
AGAP001415		
AGAP001416		EF-hand calcium-binding domain-containing protein 1 [Source:VB Community Annotation]
AGAP001417		Brain protein 44-like protein [Source:VB Community Annotation]
AGAP001418		
AGAP001419		
AGAP001420		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [Source:VB Community Annotation]
AGAP001421		replication factor A1 [Source:VB Community Annotation]
AGAP001422		
AGAP001423		Bifunctional purine biosynthesis protein [Source:VB Community Annotation]
AGAP001424		heat shock protein 90kDa beta [Source:VB Community Annotation]
AGAP001425		Sulfotransferase (Sult) [Source:VB Community Annotation]
AGAP001426		
AGAP001427		
AGAP001428		
AGAP001429		
AGAP001430		
AGAP001432		
AGAP001433	CLIPD3	CLIP-domain serine protease [Source:VB Community Annotation]
AGAP001434		glutamate receptor, anionic [Source:VB Community Annotation]
AGAP001435		pyrazinamidase/nicotinamidase [Source:VB Community Annotation]
AGAP001438		
AGAP001439		Heparan-sulfate 6-O-sulfotransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:Q380G7]
AGAP001440		Proteasome 26S non-ATPase subunit 11 [Source:VB Community Annotation]
AGAP001441		
AGAP001442		Brain protein 16 [Source:VB Community Annotation]
AGAP001443	CYP325J1	cytochrome P450 [Source:VB Community Annotation]
AGAP001444		Heparan-sulfate 6-O-sulfotransferase [Source:UniProtKB/TrEMBL;Acc:Q7PXK2]
AGAP001445		
AGAP001446		AMP-activated protein kinase, gamma regulatory subunit [Source:VB Community Annotation]
AGAP001447		solute carrier family 35 (UDP-galactose transporter), member B1 [Source:VB Community Annotation]
AGAP001448		pancreas-specific transcription factor 1a [Source:VB Community Annotation]
AGAP001449		
AGAP001450		ELMO domain-containing protein 2 [Source:VB Community Annotation]
AGAP001451		
AGAP001452		ubiquitin-conjugating enzyme E2 Q [Source:VB Community Annotation]
AGAP001453		
AGAP001454		
AGAP001455		
AGAP001458		mono-ADP-ribosyltransferase sirtuin 6 [Source:VB Community Annotation]
AGAP001459	RpL17	60S ribosomal protein L17 [Source:UniProtKB/Swiss-Prot;Acc:A0NGY0]
AGAP001460		
AGAP001461		JNK1/MAPK8-associated membrane protein [Source:VB Community Annotation]
AGAP001462		
AGAP001463		
AGAP001464		cyclic AMP-responsive element-binding protein 3 [Source:VB Community Annotation]
AGAP001468		
AGAP001469		Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF) interacting protein (liprin) [Source:VB Community Annotation]
AGAP001470		
AGAP001471		3-phosphoinositide dependent protein kinase-1 [Source:VB Community Annotation]
AGAP001472		
AGAP001473		propionyl-CoA synthetase [Source:VB Community Annotation]
AGAP001474	MSN	myosuppressin [Source:VB Community Annotation]
AGAP001475		
AGAP001476		Innexin inx2 [Source:VB Community Annotation]
AGAP001477		Innexin inx2 [Source:VB Community Annotation]
AGAP001478	NMDAR1	ionotropic receptor NMDAR1 [Source:VB Community Annotation]
AGAP001480		
AGAP001481		biotin--protein ligase [Source:VB Community Annotation]
AGAP001482		
AGAP001483		
AGAP001484		AP-3 complex subunit mu [Source:VB Community Annotation]
AGAP001485		
AGAP001486		
AGAP001487	shakB	Innexin shaking-B [Source:UniProtKB/Swiss-Prot;Acc:Q7PXN1]
AGAP001488		innexin 2 [Source:VB Community Annotation]
AGAP001490		26S proteasome non-ATPase regulatory subunit 5 [Source:VB Community Annotation]
AGAP001491		Leucine-rich repeat-containing protein 57 [Source:VB Community Annotation]
AGAP001492		
AGAP001493		
AGAP001495		homeobox protein Unc-4 [Source:VB Community Annotation]
AGAP001496		
AGAP001497	ACTN	Alpha-actinin, sarcomeric [Source:UniProtKB/Swiss-Prot;Acc:Q7PKQ5]
AGAP001498	GPROPDR	putative opioid receptor [Source:VB Community Annotation]
AGAP001499	GPRMTN	putative melatonin receptor [Source:VB Community Annotation]
AGAP001500		
AGAP001501		Regucalcin protein [Source:VB Community Annotation]
AGAP001502		mitochondrial 10 kDa heat shock protein [Source:VB Community Annotation]
AGAP001503		separase [Source:VB Community Annotation]
AGAP001504		
AGAP001505		Transmembrane emp24 protein transport domain containing 1b [Source:VB Community Annotation]
AGAP001506		guanine nucleotide-binding protein subunit beta, other [Source:VB Community Annotation]
AGAP001507		procollagen-lysine, 2-oxoglutarate 5-dioxygenase [Source:VB Community Annotation]
AGAP001508		
AGAP001509		
AGAP001510		
AGAP001511		
AGAP001512		glutamate--cysteine ligase catalytic subunit [Source:VB Community Annotation]
AGAP001513		kelch-like protein 1/4/5 [Source:VB Community Annotation]
AGAP001514		pre-mRNA 3'-end-processing factor FIP1 [Source:VB Community Annotation]
AGAP001515		
AGAP001518		
AGAP001519		pre-mRNA-splicing helicase BRR2 [Source:VB Community Annotation]
AGAP001520		protein phosphatase 1, regulatory (inhibitor) subunit 3 [Source:VB Community Annotation]
AGAP001521		
AGAP001522		Thyroid receptor-interacting protein 13 [Source:VB Community Annotation]
AGAP001523	ABCA7	ATP-binding cassette transporter (ABC transporter) family A member 7 [Source:VB Community Annotation]
AGAP001524		
AGAP001525		
AGAP001526		RIO kinase 2 [Source:VB Community Annotation]
AGAP001527		golgi-specific brefeldin a-resistance factor [Source:VB Community Annotation]
AGAP001528		
AGAP001529		H/ACA ribonucleoprotein complex subunit [Source:UniProtKB/TrEMBL;Acc:Q7PXR0]
AGAP001530		
AGAP001531		sodium-independent sulfate anion transporter [Source:VB Community Annotation]
AGAP001533		Rab3 GTPase-activating protein regulatory subunit [Source:VB Community Annotation]
AGAP001534		
AGAP001535		histone-lysine N-methyltransferase ASH1L [Source:VB Community Annotation]
AGAP001536		
AGAP001537		chromosome transmission fidelity protein 1 [Source:VB Community Annotation]
AGAP001538		splicing factor 3B subunit 4 [Source:VB Community Annotation]
AGAP001539		histone acetyltransferase HTATIP [Source:VB Community Annotation]
AGAP001543	TWDL11	cuticular protein TWDL family (TWDL11) [Source:VB Community Annotation]
AGAP001544		tripartite motif-containing protein 37 [Source:VB Community Annotation]
AGAP001545		ribosomal biogenesis protein RLP24 [Source:VB Community Annotation]
AGAP001546		Neither inactivation nor afterpotential protein G [Source:VB Community Annotation]
AGAP001548		Stress-associated endoplasmic reticulum protein 2 [Source:VB Community Annotation]
AGAP001549		
AGAP001550		sodium-coupled monocarboxylate transporter 1 [Source:VB Community Annotation]
AGAP001551		G patch domain and KOW motifs-containing protein [Source:VB Community Annotation]
AGAP001552		juvenile hormone-inducible protein [Source:VB Community Annotation]
AGAP001553		juvenile hormone-inducible protein [Source:VB Community Annotation]
AGAP001554		
AGAP001555		
AGAP001556	OBP7	odorant-binding protein antennal 7 [Source:VB Community Annotation]
AGAP001557		solute carrier family 12 (sodium/potassium/chloride transporter), member 2 [Source:VB Community Annotation]
AGAP001558	GPRGNR2	putative gonadotrophin releasing hormone receptor 2 [Source:VB Community Annotation]
AGAP001559		RNA polymerase-associated protein CTR9 [Source:VB Community Annotation]
AGAP001560		homeobox protein GSH [Source:VB Community Annotation]
AGAP001561	GPRNNA5	putative GPCR class a orphan receptor 5 [Source:VB Community Annotation]
AGAP001562	GPRNNB3	putative GPCR class b orphan receptor 3 [Source:VB Community Annotation]
AGAP001563		glycerol kinase [Source:VB Community Annotation]
AGAP001564		DNA polymerase sigma [Source:VB Community Annotation]
AGAP001565		vacuolar protein sorting-associated protein [Source:VB Community Annotation]
AGAP001566		
AGAP001568		chromatin assembly factor 1, p180-subunit [Source:VB Community Annotation]
AGAP001569		myosin alkali light chain 1 [Source:VB Community Annotation]
AGAP001570		microtubule-associated protein tau [Source:VB Community Annotation]
AGAP001572		
AGAP001573		Ras-related C3 botulinum toxin substrate 1 [Source:VB Community Annotation]
AGAP001581		
AGAP001582		
AGAP001583		
AGAP001584	snRNP-U1-C	U1 small nuclear ribonucleoprotein C [Source:UniProtKB/Swiss-Prot;Acc:Q7PXU6]
AGAP001585		deoxynucleoside kinase [Source:VB Community Annotation]
AGAP001586		CUE domain-containing protein 2 [Source:VB Community Annotation]
AGAP001587	VATI	V-type H+-transporting ATPase subunit I [Source:VB Community Annotation]
AGAP001588		V-type H+-transporting ATPase subunit I [Source:VB Community Annotation]
AGAP001589		Methylthioribose-1-phosphate isomerase [Source:UniProtKB/Swiss-Prot;Acc:Q7PKS9]
AGAP001590		
AGAP001591		cadherin-87A [Source:VB Community Annotation]
AGAP001592	GPRTAK2	putative tachykinin receptor 2 [Source:VB Community Annotation]
AGAP001593		homeobox protein goosecoid [Source:VB Community Annotation]
AGAP001594		
AGAP001595	RpS29	40S ribosomal protein S29 [Source:VB Community Annotation]
AGAP001596		
AGAP001597		
AGAP001598		
AGAP001599		
