GeneID	Tiefora_v_Ngousso_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kisumu_log2FoldChange	VK7_v_Kisumu_log2FoldChange	Cameroon_v_Ngousso_log2FoldChange	Chad_v_Ngousso_log2FoldChange	Niger_v_Ngousso_log2FoldChange	Nigeria_v_Ngousso_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_Ngousso_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_Ngousso_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_Ngousso_log2FoldChange	Bouake_gamb_unexp_v_Kisumu_log2FoldChange	Bouake_colu_unexp_v_Ngousso_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	Gou_v_Moz_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	GeneName	GeneDescription
AGAP002123	0.01	0.939	0.649	0.624	0.411	0.931	0.993	0.01	0.011	0.309	0.002	0.221	0.001	0.076	0	0.005	0.036	0.15	0.584	0.469	0.567	0.931	0.882	0.049	0.72	0.943	0.832	0.511	Axn	axin [Source:VB Community Annotation]
AGAP028015	0.01	0.233	0.739	0	0	0.192	0.005	0	0.001	0.094	0.585	0.459	0.739	0.479	0.795	0	0.459	0	0.38	0.787	0.817	0.303	0.001	0.999	0.566	0.998	0.996	0.728	""	""
AGAP007701	0.01	0.487	0.218	0.782	0.919	0.928	0.829	0.476	0.636	0.906	0.022	0.969	0.106	0.757	0.061	0.165	0.001	0	0.923	0.774	0.939	0.562	0.058	0.098	0.791	0.896	0.774	0.503	Cbc	Protein CLP1 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7QJW7]
AGAP003656	0.01	0	0.016	0.018	0	0.437	0.169	0.294	0.199	0.14	0.961	0.576	0.483	0.008	0.325	0.439	0.057	0.072	0.716	0.572	0.076	0.904	0.997	0	0.269	0.077	0.003	0.086	""	Terribly reduced optic lobes, isoform B [Source:VB Community Annotation]
AGAP007443	0.01	0	0.045	0	0.647	0.619	0.579	0.535	0.827			0.375	0.025	0.546	0.873	0.001	0.006	0	0.09	0.258	0.114	0.078	0.03	0	0.181	0.151	0.973	0.417	""	""
AGAP009997	0.01	0.005	0.995	0.004	0	0.941	0.392	0.36	0.262	0.958	0.071	0.937	0.223	0.773	0.161	0.439	0	0.001	0	0.298	0	0.234	0.293	0.806	0.791	0.924	0.705	0.907	""	thioredoxin domain-containing protein [Source:VB Community Annotation]
AGAP007109	0.01	0.446	0.064	0.113	0.445	0.694	0.422	0.568	0.25	0.986	0.432	0.97	0.385	0.889		0.568	0.159	0.502	0.551	0.531	0.272		0.446	0	0.003	0.013	0.399	0.001	""	""
AGAP000869	0.01	0.131	0.194	0.135	0.019	0.016	0	0.944	0.797	0.004	0.045	0.018	0.051	0	0.001	0.933	0.163	0.48	0.023	0.913	0.831	0.054	0	0.866	0.872	0.901	0.398	0.658	""	partitioning defective protein 3 [Source:VB Community Annotation]
AGAP008166	0.01	0.081	0.017	0.481	0.284	0.344	0.639	0.986	0.893	0.739	0.114	0.664	0.056	0.202	0.016	0.138	0.752	0.857	0.433	0.288	0.975	0.007	0.73	0.541	0.548	0.518	0.617	0.156	""	heparan sulfate 2-O-sulfotransferase HS2ST1 [Source:VB Community Annotation]
AGAP000791	0.011	0.096	0.619	0.866	0.611	0.88	0.25	0.955	0.322	0.138	0.542	0.035	0.367	0.52	0.958	0.15	0.961	0	0.264	0.992	0.499	0.072	0.766	0.863	0.584	0.456	0.267	0.07	""	Tango10 [Source:VB Community Annotation]
AGAP001684	0.011	0.862	0.547	0	0	0.465	0.003	0.203	0.319			0.059	0.149	0.008	0.02	0	0	0.435		0	0	0	0	0.685	0.019	0.736	0.776	0.178	""	Alkaline phosphatase [Source:UniProtKB/TrEMBL;Acc:Q7PY02]
AGAP003018	0.011	0.725	0	0.053	0.133	0.661	0.711	0.053	0.002	0.179	0.977	0.21	0.849	0.218	0.913	0.538	0.363	0.136	0.521	0.168	0.014	0.804	0.001	0	0.245	0.011	0.132	0.251	""	dynamin GTPase [Source:VB Community Annotation]
AGAP000248	0.011	0.051	0.114	0.012	0.214	0.048	0	0.237	0.176	0.401	0.634	0.017	0.055	0.577	0.764	0.642	0.015	0.28	0.764	0.86	0.359	0.757	0.032	0.145	0.872	0.143	0.852	0.405	""	protein phosphatase 1H [Source:VB Community Annotation]
AGAP009444	0.011	0.057	0.127	0.686	0.048	0.013	0.009	0.082	0.197	0.534	0.002	0.317	0	0.943	0	0.337	0.002	0.001	0.026	0.539	0.005	0.25	0.306	0	0.146	0.006	0.006	0.025	""	chromobox protein 5 [Source:VB Community Annotation]
AGAP006510	0.011	0.98	0.011	0.001	0.162	0.854	0.705	0.401	0.162	0.001	0.001	0.005	0.001	0	0	0.179	0.254	0	0.604	0.924	0.952	0	0.555	0.063	0.432	0.017	0.035	0.212	""	tyrosine-protein kinase Src [Source:VB Community Annotation]
AGAP011444	0.011	0.33	0.039	0.71	0	0.988	0.375	0.393	0.6	0.798	0.547	0.846	0.319	0.833	0.374	0.032	0.569	0	0.117	0.443	0.038	0.685	0.34	0	0.004	0.014	0.015	0.19	""	20S proteasome subunit beta 7 [Source:VB Community Annotation]
AGAP012241	0.011	0.923	0.966	0.465	0.8	0.005	0	0.03	0.016	0.326	0.039	0.524	0.095	0.199	0.021	0.533	0.008	0.427	0.978	0.479	0.914	0.613	0.111	0.577	0.975	0.727	0.556	0.792	""	TRP channel protein nanchung [Source:VB Community Annotation]
AGAP008135	0.011	0.928	0.011	0.868	0.879	0.27	0.092	0.275	0.647	0.759	0.008	0.616	0.196	0.555	0.712	0.854	0.038	0.001	0.451	0.815	0.734	0.02	0.029	0	0.012	0.002	0.007	0.001	""	Gonadotropin inducible transcription factor [Source:VB Community Annotation]
AGAP005065	0.011	0.122	0.669	0.001	0.005	0.782	0.137	0.568	0.159	0.011	0	0.18	0		0.013	0.001	0	0.038	0	0	0.001	0.588	0.234	0.007	0.869	0.146	0.998	0.551	""	""
AGAP000731	0.011	0.839	0	0.001	0.569	0.794	0.123	0.012	0	0.743	0.355	0.524	0.27	0.776	0.426	0.022	0.019	0.702	0.02	0.237	0.004	0.028	0.552	0.619	0.975	0.815	0.679	0.719	""	""
AGAP011145	0.011	0.93	0.064	0.008	0.452	0.611	0.385	0.19	0.005							0.353	0.041	0.003	0.031	0.004	0.244	0.081	0	0.023	0.372	0.494	0.543	0.098	""	ATP-dependent RNA helicase DDX56/DBP9 [Source:VB Community Annotation]
AGAP001609	0.011	0	0.149	0.002	0	0	0.27	0.066	0	0.929	0.74	0.361	0.561	0.004	0.068	0	0.084	0.451	0.012	0.027	0.05	0.973	0	0.077	0.739	0.194	0.081	0.009	""	E3 ubiquitin-protein ligase MYLIP [Source:VB Community Annotation]
AGAP008651	0.011	0.722	0.034	0.391	0.698	0.347	0.447	0.979	0.415	0.966	0.479	0.838	0.284	0.827	0.843	0.556	0.202	0.047	0.367	0.919	0.467	0.001	0.022	0.117	0.017	0.276	0.218	0.271	""	cryptochrome [Source:VB Community Annotation]
AGAP006376	0.011	0.157	0.035	0	0.858	0.06	0.07	0.209	0.365	0.983	0	0.556	0.008	0.88	0	0.008	0.851	0	0.111	0.552	0.094	0.794	0	0.007	0.017	0.108	0.179	0.173	PDP1	PAR-domain protein 1 [Source:VB Community Annotation]
AGAP012004	0.011	0.404	0.126	0.442	0.115	0.918	0.488	0.698	0.424	0.599	0.076	0.471	0.069	0.203	0.021	0.096	0.008	0	0.023	0.841	0.375	0.008	0.102	0.168	0.675	0.299	0.201	0.102	""	""
AGAP003880	0.011	0	0.001	0.017	0	0.901	0.575	0.34	0.177	0.462	0.454	0.534	0.017	0.731	0.021	0	0.158	0	0.049	0.292	0.145	0.446	0.546	0	0.007	0.017	0.197	0.003	""	""
AGAP002415	0.011	0.18	0.075	0	0.053	0.019	0.008	0.038	0	0.494	0.596	0.824	0.977	0.287	0.421	0.507	0.046	0.003	0.916	0.004	0	0.667	0	0.31	0.222	0.215	0.125	0.83	""	""
AGAP004825	0.011	0.95	0	0.065	0.889	0.898	0.772	0.19	0.212	0.425	0	0.175	0	0.004	0	0.566	0	0	0.076	0.184	0.164	0	0.222	0	0.01	0.001	0.116	0.005	""	""
AGAP012386	0.011	0.461	0.432	0	0.019	0.538	0.007	0	0	0	0.014	0	0	0	0.001	0	0	0	0	0	0	0.305	0.009	0.192	0.936	0.498	0.192	0.501	""	""
AGAP002227	0.011	0.04	0.692	0.809	0.015	0.782	0.972	0.344	0.286	0.564	0.104	0.407	0.199	0.396	0.165	0.821	0.343	0.02	0.246	0.276	0.353	0	0.076	0.036	0.532	0.948	0.668	0.565	""	pyridoxamine 5'-phosphate oxidase [Source:VB Community Annotation]
AGAP012361	0.011	0.903	0.002	0.517	0.016	0.834	0.754	0.501	0.68	0.115	0.015	0.009	0.001	0.112	0.017	0.183	0	0	0.005	0.775	0.019	0.006	0	0.002	0.788	0.013	0.026	0.025	""	MRG-binding protein [Source:VB Community Annotation]
AGAP000681	0.011	0.591	0.434	0.596	0.001	0.01	0	0.046	0.022	0.296	0.742	0.451	0.583	0.412	0.912	0	0.782	0.291	0	0	0	0.55	0.007	0.002	0.546	0.016	0.166	0.008	""	tRNA:m4X modification enzyme [Source:VB Community Annotation]
AGAP004190	0.011	0.043	0.321	0.863	0.584	0.776	0.921	0.014	0.173	0.101	0.064	0.814	0	0.874	0	0.947	0.505	0	0.072	0.361	0.742	0	0	0	0.304	0.029	0.204	0.018	""	U3 small nucleolar RNA-associated protein 7 [Source:VB Community Annotation]
AGAP002782	0.011	0.358	0.002	0.339	0.835	0.31	0.301	0.042	0.12	0.866	0	0.444	0	0.347	0	0.471	0	0	0.72	0.172	0.393	0	0.628	0.506	0.377	0.262	0.954	0.737	""	nuclear autoantigenic sperm protein [Source:VB Community Annotation]
AGAP006914	0.012	0.234	0.083	0.517	0.125	0.501	0.091	0	0	0	0.131	0	0.094	0.001	0.006	0.199	0.001	0	0.009	0.18	0.012	0.421	0.428	0.205	0.28	0.21	0.12	0.175	""	fibrinogen-related protein 1 [Source:VB Community Annotation]
AGAP006450	0.012	0.633	0.707	0.796	0.813	0.723	0.703		0.682	0.229		0.324	0.719	0.37		0.55	0.228	0.864	0.164	0.083	0.796	0.91	0.84	0.748	0.998	0.467	0.45	0.738	Gr34	gustatory receptor 34 [Source:VB Community Annotation]
AGAP002853	0.012	0	0	0	0.327	0.12	0.489	0	0	0.837	0.983	0.24	0.092	0.091	0.03	0	0.006	0	0.133	0.417	0	0.938	0.002	0	0	0	0	0	""	""
AGAP007806	0.012	0.083	0.536	0.914	0.172	0.391	0.608	0.708	0.754	0.049	0	0.755	0.002	0.408	0	0.336	0.013	0.002	0.057	0.614	0.539	0.995	0.346	0.633	0.93	0.036	0.009	0.076	""	myosin light chain, invertebrate [Source:VB Community Annotation]
AGAP004396	0.012	0.116	0.176	0.008	0.018	0	0.04	0	0	0.661	0.606	0.57	0.673	0.901	0.268	0.012	0.807	0	0.316	0.665	0.001	0	0.641	0.207	0.086	0.043	0.791	0.253	""	acetyl-CoA hydrolase/transferase (Precursor) [Source:VB Community Annotation]
AGAP002066	0.012	0.098	0.232	0.927	0.736	0.769	0.403	0.292	0.062	0.209	0	0.229	0	0.047	0.001	0.094	0.006	0.865	0.571	0.433	0.092	0.353	0.717	0.362	0.889	0.196	0.655	0.19	""	Mps one binder kinase activator-like 1B [Source:VB Community Annotation]
AGAP004251	0.012	0.447	0.01	0.66	0	0.695	0.246	0.025	0	0.042	0.015	0.072	0.037	0.088	0.016	0.854	0.224	0.012	0	0	0	0.54	0.052	0	0.223	0	0.005	0	""	solute carrier family 20 (sodium-dependent phosphate transporter) [Source:VB Community Annotation]
AGAP013230	0.012	0.073	0	0.121	0.037	0.543	0.003	0.411	0	0.024	0.109	0.001	0.01	0.004	0.015	0.075	0.248	0	0.264	0.23	0.209	0.475	0.913	0	0.019	0.013	0.009	0	""	""
AGAP003184	0.012	0.012	0.06	0.538	0.106	0.818	0.023	0.217	0.011	0.005	0	0	0	0.373	0.141	0.172	0.006	0.193	0.186	0.481	0.001	0.017	0.4	0	0.391	0.257	0.275	0.145	""	5-aminolevulinate synthase [Source:UniProtKB/TrEMBL;Acc:Q7QBG3]
AGAP006362	0.012	0.201	0.011	0.384	0.038	0.281	0	0.962	0.562	0.832	0.1	0.455	0.149	0.342		0.092	0	0.078	0.792	0.831	0.342	0.495	0.939	0.414	0.976	0.455	0.57	0.592	""	""
AGAP002983	0.012	0.066	0.007	0.951	0	0.611	0.009	0.368	0.617	0.008	0	0.084	0.008	0.023	0.002	0.594	0.672	0	0.971	0.007	0.284	0.064	0.256	0	0.097	0.001	0.038	0.021	""	""
AGAP000396	0.012	0.732	0.115	0.504	0.102	0.351	0	0.005	0	0.003	0.516	0.002	0.747	0.002	0.967	0.293	0.963	0	0.201	0.201	0.227	0.976	0.139	0.673	0.95	0.017	0.907	0.192	TPX1	thioredoxin peroxidase 1 [Source:VB Community Annotation]
AGAP003797	0.012	0.263	0.041	0.002	0.061	0.537	0.972	1	0.777	0.567	0.036	0.421	0.011	0.547	0.033	0.001	0.38	0	0.045	0.272	0.583	0.714	0.218	0.047	0.204	0.791	0.699	0.896	""	protein tipE [Source:VB Community Annotation]
AGAP003527	0.012	0.27	0.61	0.222	0.146	0.696	0.552	0.763	0.753	0.301	0.073	0.287	0.041	0.936	0.532	0.006	0.696	0.483	0.086	0.872	0.798	0.187	0.138	0.686	0.072	0.15	0.612	0.35	""	O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase [Source:VB Community Annotation]
AGAP012543	0.012	0.476	0	0.012	0.231	0.629	0.14	0.091	0.017	0.892	0.903	0.987	0.967	0.724	0.629	0.013	0.911	0	0	0	0	0.012	0.198	0.028	0.182	0.001	0.332	0.002	""	""
AGAP000971	0.012	0.528	0.001	0.596	0	0.887	0.915	0.755	0.696	0	0.609	0.008	0.191	0.156	0.169	0.063	0.511	0.001	0.472	0.94	0.379	0.444	0.067	0.012	0.618	0.024	0.03	0.013	""	prolyl 4-hydroxylase [Source:VB Community Annotation]
AGAP000737	0.012	0.967	0.726	0.046	0.011	0.451	0.002	0.728	0.687	0.888	0	0.872	0	0.759	0	0.376	0.048	0.077	0.228	0.24	0.01	0.388	0.436	0	0.443	0.656	0.297	0.408	""	protein SPT2 [Source:VB Community Annotation]
AGAP004592	0.012	0.325	0.496	0.68	0.678	0.218	0.556	0.077	0.097	0.951	0.935	0.442	0.373	0.66	0.802	0.788	0.247	0	0.045	0.042	0.014	0.004	0	0.002	0.517	0.055	0.734	0.204	""	splicing factor, arginine/serine-rich 4/5/6 [Source:VB Community Annotation]
AGAP007020	0.012	0	0.015	0.83	0.718	0.699	0.483	0.839	0.208	0.192	0	0.116	0	0.525	0	0.577	0.688	0.004	0.249	0.167	0.478	0.98	0.153	0.942	0.32	0.926	0.696	0.795	TPX5	thioredoxin peroxidase 5 [Source:VB Community Annotation]
AGAP006765	0.012	0.08	0	0.087	0.323	0.37	0	0.041	0.004	0.838	0.362	0.207	0.014	0.232	0.019	0.035	0.926	0.443	0	0	0	0.48	0.339	0.002	0.01	0	0.005	0	""	""
AGAP010550	0.012	0.804	0.279	0.376	0.001	0.005	0	0	0	0	0.014	0	0.006	0.175	0.535	0.516	0.258	0	0.236	0	0.043	0.083	0.505	0	0	0	0.003	0.005	""	venom allergen [Source:VB Community Annotation]
AGAP010968	0.012	0.59	0	0.081	0.001	0	0	0	0	0.035	0.274	0.004	0.494	0.025	0.307	0.001	0.958	0	0.444	0.199	0.554	0.03	0.201	0.786	0.006	0.108	0.578	0.031	CLIPA9	CLIP-domain serine protease [Source:VB Community Annotation]
AGAP011439	0.012	0.463	0.083	0	0	0.496	0.762	0.914	0.836	0.975	0.055	0.234	0.489	0.524	0.57	0.679	0.866	0.002	0	0	0.001	0.437	0.158	0.623	0.998	0.313	0.975	0.233	""	""
AGAP010267	0.012	0.122	0.004	0.003	0.161	0.276	0.461	0.811	0.213	0.369	0.069	0.046	0.899	0.124	0.089	0.663	0.031	0.001	0.384	0.775	0.733	0.589	0.8	0.002	0.049	0.032	0.19	0.101	""	glutaminyl-tRNA synthetase [Source:VB Community Annotation]
AGAP011148	0.012	0.003	0.948	0.091	0	0	0	0	0.162	0.09	0.004	0.287	0.042	0.086	0.006	0.662	0.52	0	0.53	0.128	0.872	0.001	0.085	0	0.073	0.133	0.004	0.103	mRpL14	39S ribosomal protein L14, mitochondrial [Source:VB Community Annotation]
AGAP005581	0.012	0.34	0.134	0.376	0.051	0.598	0.701	0.481	0.365	0	0.455	0	0.608	0	0.56	0	0.045	0.004	0.131	0.975	0.336	0.831	0.008	0.644	0.995	0.337	0.385	0.043	""	3-hydroxyisobutyrate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:Q7PNN6]
AGAP006379	0.012	0.025	0.568	0	0.295	0	0	0	0	0.737	0.088	0.306	0.002	0.716	0.043	0.138	0.018	0	0	0	0	0	0.473	0	0.451	0.018	0.078	0.021	ABCA1	ATP-binding cassette transporter (ABC transporter) family A member 1 [Source:VB Community Annotation]
AGAP000868	0.012	0.853	0.005	0.138	0	0.036	0.824	0.303	0.435	0.062	0.143	0.041	0.084	0.098	0.183	0.183	0.064	0.039	0.002	0.993	0.962	0	0.343	0.103	0.762	0.014	0.679	0.149	""	beta-1,4-mannosyltransferase egghead protein [Source:VB Community Annotation]
AGAP000427	0.012	0.512	0	0	0.021	0.423	0	0.167	0.742	0.401	0.001	0.015	0	0.013	0	0.004	0.011	0.001	0.274	0.152	0.367	0	0.474	0.571	0.684	0.156	0.902	0.166	""	vitellogenin receptor [Source:VB Community Annotation]
AGAP011549	0.012	0.618	0.023	0	0.021	0.507	0.102	0.778	0.941	0.125	0.011	0.473	0.115	0.056	0.004	0.995	0.041	0.01	0.023	0.478	0.042	0.827	0.177						""	""
AGAP010234	0.012	0.528	0	0.269	0.325	0.232	0	0	0	0.78	0.238	0.113	0.006	0.357	0.05	0.003	0	0.275	0.015	0.001	0	0.024	0.998	0.465	0.798	0.56	0.849	0.848	""	microsomal triglyceride transfer protein large subunit [Source:VB Community Annotation]
AGAP003581	0.012	0	0.35	0.907	0.17	0.142	0.013	0.068	0.02	0.003	0.159	0.011	0.118	0.001	0.179	0.594	0.004	0	0.001	0.131	0.004	0.045	0.533	0.765	0.165	0.051	0.003	0	""	D-xylulose reductase A [Source:VB Community Annotation]
AGAP008842	0.012	0.159	0	0	0	0	0.894	0.097	0.795	0.192	0.784	0.952	0.12	0.063	0.811	0.833	0	0.058	0.983	0.43	0.327	0.913	0	0.463	0.958	0.089	0.149	0.004	AQP4	Aquaporin AQPAn.G [Source:UniProtKB/Swiss-Prot;Acc:Q7PWV1]
AGAP003136	0.012	0.544	0.02	0.853	0.175	0.97	0.092	0.005	0.03	0.226	0.705	0.333	0.958	0.262	0.953	0	0.216	0.05	0.501	0.787	0.23	0.943	0.542	0.933	0.915	0.2	0.849	0.537	""	2-oxoisovalerate dehydrogenase E1 component, alpha subunit [Source:VB Community Annotation]
AGAP010966	0.012	0.018	0.483	0.031	0.191	0.292	0.15	0.806	0.047	0.982	0.879	0.024	0.026	0.594	0.725	0.005	0	0	0.036	0.046	0.075		0.996	0.883	0.5	0.751	0.549	0.878	CYP6AJ1	cytochrome P450 [Source:VB Community Annotation]
AGAP028638	0.012	0.05	0.027	0.001	0.973	0.738	0.881	0.997	0.295	0.302	0.108	0.143	0.04	0.448	0.13	0.957	0.675	0.263	0.001	0.001	0.123	0.738	0.149	0.008	0.355	0.1	0.276	0.635	""	""
AGAP006343	0.012	0.004	0.023	0.856	0	0	0.002	0	0	0.027	0.324	0.414	0.001	0	0.568	0	0.017	0	0.451	0.563	0.004	0.682	0.777	0.149	0.367	0.059	0.76	0.142	PGRPS2	peptidoglycan recognition protein (short) [Source:VB Community Annotation]
AGAP007279	0.013	0.093	0	0.569	0.015	0.601	0.56	0.063	0	0	0.949	0.002	0.715	0.012	0.736	0.464	0.302	0	0.002	0.034	0.007	0.313	0.895	0.024	0.155	0.002	0.21	0.589	""	""
AGAP001209	0.013	0.188	0.244	0	0	0.141	0.168	0.003	0	0.003	0.543	0.013	0.856	0.001	0.479	0.753	0.001	0	0.921	0.126	0.041	0.144	0.036	0.006	0.675	0.247	0.235	0.727	""	ubiquitin carboxyl-terminal hydrolase 6/32 [Source:VB Community Annotation]
AGAP006385	0.013	0	0.01	0	0	0.258	0.198	0.743	0.221	0.31	0.323		0.937	0.004	0.429	0.053	0	0.111	0.297	0.487	0.607	0.975	0	0	0.046	0	0.038	0.001	""	""
AGAP008937	0.013	0.882	0.015	0.065	0.964	0.889	0.792	0.616	0.901	0.909	0.162	0.583	0.013	0.689	0.037	0.006	0.01	0.275	0.147	0.119	0.366	0.095	0.635	0	0	0	0.003	0	""	""
AGAP028065	0.013	0.854	0.568	0.139	0.767	0.782	0.001	0	0	0.714	0.684	0.746	0.708	0.653	0.614	0.188	0.484	0	0.74	0.998	0.583	0.378	0.45	0	0.048	0.327	0.07	0.179	""	""
AGAP002386	0.013	0.007	0.893	0.217	0.852	0.934	0.634	0.216	0.806	0.623	0.229	0.04	0.005	0.224	0.063	0.238	0.012	0	0.584	0.733	0.07	0.272	0.016	0.739	0.209	0.112	0.61	0.89	""	DnaJ homolog subfamily C member 14 [Source:VB Community Annotation]
AGAP000268	0.013	0.773	0.413	0	0	0.039	0.086	0	0	0.314	0	0.463	0	0.6	0	0.002	0	0.904	0.792	0.318	0.174	0.293	0.733	0.003	0.034	0.012	0.005	0.127	""	""
AGAP003940	0.013	0.033	0.92	0.605	0.342	0.854	0.56	0.793	0.444	0.039	0.013	0.035	0.008	0.003	0.001	0.536	0	0	0.204	0.35	0.254	0	0.999	0.436	0.527	0.494	0.563	0.271	""	""
AGAP002013	0.013	0.318	0.252	0.229	0.504	0.807	0.463	0.962	0.513	0.957	0.872	0.789	0.862	0.764	0.646	0.555	0.003	0.002	0.002	0.006	0.24	0.462	0.204	0.18	0.649	0.684	0.453	0.59	""	leucine-rich repeat-containing protein 49 [Source:VB Community Annotation]
AGAP011137	0.013	0.007	0.089	0.19	0.091	0.661	0.181	0.198	0.151	0.323	0.831	0.788	0.555	0.986	0.402	0.037	0.015	0.902	0.937	0.937	0.368	0.001	0.134	0.019	0.849	0.104	0.963	0.25	""	Thiomorpholine-carboxylate dehydrogenase [Source:VB Community Annotation]
AGAP007095	0.013	0.045	0.619	0	0.56	0.003	0.658	0.941	0.569	0.053	0.732	0.016	0.858	0.024	0.986	0.103	0	0	0.027	0.72	0.315	0.644	0.009	0.395	0.939	0.372	0.283	0.623	""	""
AGAP006409	0.013	0.023	0.467	0.829	0.856	0.677	0.523	0.831	0.866	0.332	0.316	0.057	0.874	0	0.346	0.824	0.938	0.033	0.74	0.459	0.108	0.561	0.095	0.001	0.122	0	0.084	0.01	""	""
AGAP008345	0.013	0.246	0	0.308	0.601	0.664	0.731	0.996	0.723	0.015	0.607	0.517	0.015	0.635	0.017	0.146	0.662	0.078	0	0	0.128	0.275	0.025	0.06	0.2	0.888	0.967	0.667	""	methionyl aminopeptidase [Source:VB Community Annotation]
AGAP013713	0.013	0.714	0.951	0.962	0.004	0.01	0.007	0.24	0.338	0.007	0.288	0.053	0.849	0.008	0.856	0.217	0.233	0	0.117	0.228	0.751	0.764	0.153	0.582	0.582	0.183	0.139	0.166	""	""
AGAP010819	0.013	0.163	0.014	0.815	0	0.094	0.001	0.056	0	0	0.898	0.015	0.953	0	0.689	0.067	0.738	0	0	0.308	0.001	0.197	0.002	0.692	0.581	0.013	0.364	0.037	TEP10	thioester-containing protein 10 [Source:VB Community Annotation]
AGAP008002	0.013	0.031	0	0.822	0.755	0.587	0.998	0.386	0.269	0.267	0.079	0.005	0.001	0.073	0.017	0.122	0.086	0.04	0.643	0.107	0.706	0.01	0.219	0.052	0.196	0.289	0.507	0.425	""	cyclin K [Source:VB Community Annotation]
AGAP008790	0.013	0.213	0.187	0	0.706	0.689	0.249	0.568	0.769	0.019	0	0.276	0.007	0.021	0	0.126	0.243	0.034	0.43	0.47	0.986	0.16	0.434	0.03	0.475	0.274	0.827	0.951	""	disintegrin and metalloproteinase domain-containing protein 10 [Source:VB Community Annotation]
AGAP003999	0.013	0.102	0	0	0.007	0.677	0.424	0	0.007	0.525	0.077	0.242	0.848	0.936	0.299	0	0	0	0.675	0.105	0.627	0.993	0.014	0.123	0.104	0.583	0.034		""	""
AGAP013732	0.013	0.1	0	0	0.305	0.522	0.006	0.035	0	0.834	0.175	0.01	0.001	0.061	0.004	0.001	0.094	0	0	0	0.013	0.027	0.744	0.245	0.806	0.617	0.59	0.831	""	""
AGAP011084	0.013	0.324	0.04	0	0.078	0.978	0.977	0.049	0.087	0.997	0.17	0.162	0.001	0.025	0	0.014	0.538	0.005	0.865	0.782	0.233	0.696	0.771	0.219	0.422	0.36	0.774	0.376	""	ATP-dependent RNA helicase DDX27 [Source:VB Community Annotation]
AGAP003594	0.013	0.879	0	0.502	0.209	0.777	0.72	0.394	0.359	0.685	0.015	0.919	0	0.166	0	0.44	0	0	0.86	0.378	0.926	0	0.421	0	0.079	0.001	0	0	""	""
AGAP001721	0.013	0.24	0.562	0	0.029	0.723	0.617	0.056	0	0.056	0	0.254	0.001	0.097	0	0.632	0.955	0	0.082	0.993	0.763	0.096	0.207	0.075	0.136	0.115	0.126	0.573	""	translocon-associated protein subunit alpha [Source:VB Community Annotation]
AGAP006719	0.013	0	0.751	0.422	0.435	0.454	0.423	0.369	0.07	0.11	0.682	0.005	0.111	0.016	0.256	0.593	0.155	0.015	0.611	0.656	0.202	0.998	0.937	0.071	0.007	0.002	0.498	0.023	""	""
AGAP002525	0.013	0.189	0.151	0.015	0.058	0.049	0.04	0.432	0.019	0.795	0.091	0.987	0.326	0.228	0.939	0.384	0.003	0	0.002	0.146	0.002	0.995	0.476	0.044	0.818	0.71	0.54	0.106	""	eukaryotic translation initiation factor 2A [Source:VB Community Annotation]
AGAP003279	0.013	0.255	0.982	0.446	0.273	0.908	0.963	0.639	0.626	0.003	0.112	0.036	0.179	0.061	0.273	0.113	0.045	0.495	0.016	0.826	0.197	0.01	0.315	0.756	0.971	0.728	0.997	0.943	""	superkiller protein 3 [Source:VB Community Annotation]
AGAP007917	0.013	0.255	0.146	0.582	0.026	0.688	0.806	0.24	0.155	0.318	0.881	0.552	0.448	0.816	0.206	0.069	0.608	0	0.001	0.89	0.757	0.545	0.793	0	0.042	0.007	0.001	0.029	ABCC12	ATP-binding cassette transporter (ABC transporter) family C member 12 [Source:UniProtKB/TrEMBL;Acc:A0A1S4GWP9]
AGAP004376	0.013	0.185	0	0.611	0	0.015	0	0	0	0.024	0.733	0.027	0.877	0.108	0.483	0	0	0.978	0.117	0.498	0.715	0.017	0.076	0.873	0.17	0.005	0.188	0.667	""	aldose 1-epimerase [Source:VB Community Annotation]
AGAP002014	0.013	0.011	0.526	0.987	0	0.545	0.155	0.941	0.464	0.016	0.949	0.143	0.916	0.001	0.473	0.647	0.211	0	0	0	0.003	0.046	0.016	0.994	0.878	0.07	0.03	0.033	""	leucyl-tRNA synthetase [Source:VB Community Annotation]
