GeneID	Tiefora_v_NG_log2FoldChange	Gou_v_Moz_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kis_log2FoldChange	VK7_v_Kis_log2FoldChange	Cameroon_v_NG_log2FoldChange	Chad_v_NG_log2FoldChange	Niger_v_NG_log2FoldChange	Nigeria_v_NG_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_NG_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_NG_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_NG_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	GeneName	GeneDescription
AGAP003165	0	0.17	0.283	0.731	0	0	0.851	0.922	0.009	0	0.776	0.003	0.525	0	0.744	0.002	0	0.02	0.005	0.035	0.02	0.139	0.298	0.528	0	""	Succinate-semialdehyde dehydrogenase I [Source:VB Community Annotation]
AGAP005645	0	0.021	0.002	0.076	0	0	0.306	0.071	0	0.105	0	0	0	0	0	0	0.015	0.37	0.443	0.307	0.959	0	0	0	0.612	""	dehydrogenase/reductase SDR family member 11 precursor [Source:VB Community Annotation]
AGAP002039	0	0.468	0.071	0	0	0.281	0.846	0	0.011	0	0.262	0.008	0.034	0	0.025	0.001	0.019	0.111	0.018	0.051	0.023	0	0	0	0.427	""	""
AGAP001549	0	0.75	0.002	0.773	0.001	0.788	0.322	0.064	0.42	0.031	0	0.646	0.008	0.594	0.045	0.776	0.072	0.236	0.686	0.867	0.099	0.613	0.054	0.217	0.052	""	""
AGAP009194	0	0.411	0	0.883	0	0	0	0	0	0	0	0.842	0	0.639	0	0.13	0	0.262	0	0	0.001	0	0	0	0	GSTE2	glutathione S-transferase epsilon class 2 [Source:VB Community Annotation]
AGAP009783	0	0.874	0.525	0	0.001	0.168	0.949	0.003	0	0	0.004	0.274	0.055	0.03	0.089	0.065	0.001	0.014	0	0.078	0.001	0.342	0.99	0	0.239	""	short/branched chain acyl-CoA dehydrogenase [Source:VB Community Annotation]
AGAP008020	0	0	0.057	0.686	0	0	0.939	0.293	0.012	0.622							0.021	0.131	0.748	0.828	0.055	0.032	0.109	0.008	0.014	CYP12F2	cytochrome P450 [Source:VB Community Annotation]
AGAP000017	0	0.156	0.978	0.009	0.122	0.968	0.451	0.1	0.767	0.964	0	0.006	0	0.046	0	0.001	0.543	0.812	0.37	0.823	0.467	0.002	0	0	0.354	""	""
AGAP008284	0	0.001	0	0.675	0.008	0.325	0	0.508	0.001	0	0	0.158	0	0.022	0	0.032	0.001	0.388	0.003	0.58	0.946	0.889	0.255	0.346	0.102	D7r1	D7 short form salivary protein [Source:VB Community Annotation]
AGAP000749	0	0.84	0	0	0	0.445	0.279	0.675	0.182	0.721	0.029	0.001	0.013	0.001	0.001	0	0	0.076	0	0	0	0.692	0.397	0.402	0.47	""	Muscular protein 20 [Source:VB Community Annotation]
AGAP011551	0	0.012	0.089	0.858	0.76	0.884	0.34	0.007	0.05	0.005	0.277	0.155	0.477	0.942	0.403	0.184	0.82	0.856	0.614	0.642	0.622	0.041	0.181	0.263	0.794	""	protein transport protein SEC31 [Source:VB Community Annotation]
AGAP011724	0	0.529	0.121	0.001	0.01	0.874	0.353	0.758	0.664	0.231	0.003	0.254	0.003	0.416	0.013	0.507	0.015	0.642	0.407	0.576	0.869	0.108	0.748	0.006	0	""	""
AGAP004773	0	0.005	0	0.041	0	0	0.083	0.235	0.396	0.028							0.863	0.674	0.201	0.148	0.071	0.666	0.866	0.428	0.046	""	pyruvate dehydrogenase E1 component subunit alpha, mitochondrial [Source:VB Community Annotation]
AGAP009227	0	0.488	0.181	0	0.001	0.74	0.858	0.143	0.185	0.238	0.736	0.378	0.062	0.016	0.008	0.002	0.142		0.271	0.215	0.241	0	0.011	0.005	0.907	""	""
AGAP007852	0	0.183	0.439	0.009	0.021	0	0.011	0	0	0	0.576	0.066	0.824	0.438	0.67	0.692	0.767	0.888	0.442	0.186	0.554	0.805	0.314	0.288	0	""	aconitate hydratase 1 / homoaconitase [Source:VB Community Annotation]
AGAP003023	0	0.156	0.09	0	0	0	0.989	0.834	0.195	0.045	0.093	0.172	0.076	0.114	0.315	0.129	0.03	0.443	0.005	0.008	0	0.152	0.029	0	0.588	""	syntaxin-binding protein 1 [Source:VB Community Annotation]
AGAP000425	0	0.068	0.672	0.712	0.583	0.002	0.006	0.645	0.142	0.001	0.766	0.563	0.377	0.901	0.164	0.72	0.289	0.572	0.923	0.011	0.515	0	0.37	0	0.281	""	""
AGAP012628	0	0.529	0.001	0.437	0	0.048	0.044	0	0	0							0	0.305	0.004	0	0.003	0	0.459	0.002	0.427	""	""
AGAP002971	0	0.267	0.01	0	0	0	0.678	0.017	0.001	0	0.064	0.001	0.002	0			0	0.143	0.023	0.626	0.018	0	0	0	0.254	alpha8	nicotinic acetylcholine receptor subunit alpha 8 [Source:VB Community Annotation]
AGAP006601	0	0.54	0	0.953	0.199	0.001	0.681	0.004	0.116	0.994	0.008	0.348	0.01	0.387	0	0.092	0	0.024	0	0.379	0.425	0	0.002	0	0.251	""	""
AGAP011291	0	0.629	0	0.399	0.133	0.977	0.983	0.69	0.349	0.127	0.529			0.862			0.062	0.46	0.051	0.017	0.003	0.24	0.518	0.318	0.544	""	UPF0466 protein AGAP011291, mitochondrial [Source:VB Community Annotation]
AGAP011383	0	0.038	0.192	0.011	0.102	0.82	0.156	0.067	0.546	0.315	0.124	0.309	0.896	0.006	0.523	0	0.983	0.349	0.959	0.749	0.522	0.965	0.778	0.125	0.062	""	rRNA-processing protein EBP2 [Source:VB Community Annotation]
AGAP012503	0	0.635	0.179	0.049	0	0.117	0.002	0.302	0.492	0.964							0.27	0.522	0.209	0.486	0.099	0	0	0	0.303	""	Developmentally regulated RNA-binding protein [Source:VB Community Annotation]
AGAP008193	0	0.237	0.18	0	0	0.701	0	0.636	0.01	0	0.009	0.004	0	0	0.03	0.012	0.001	0.319	0	0.012	0.001	0.977	0.848	0.45	0.598	""	nidogen (entactin) [Source:VB Community Annotation]
AGAP001813	0	0.512	0.37	0	0.537	0.006	0.978	0.02	0.897	0.028	0.601	0.031	0.439	0.015	0.137	0.007	0.573	0.007	0	0.21	0.011	0.386	0.171	0.675	0.121	""	Histone H3 [Source:UniProtKB/TrEMBL;Acc:Q7PUQ8]
AGAP010311	0	0.409	0.01	0.698	0	0.808	0.588	0.067	0.195	0.516	0.051	0.368	0.338	0.086	0.11	0.449	0.831	0.851	0.319	0.576	0.651	0.577	0.954	0	0.003	""	dehydrogenase/reductase SDR family member 11 precursor [Source:VB Community Annotation]
AGAP005034	0	0.078	0.316	0	0	0.081	0.979	0.064	0	0	0.282	0.447	0.016	0.048	0.08	0.09	0.004	0.029	0.131	0.59	0.271	0	0	0	0.94	GPRMGL5	putative metabotropic glutamate receptor 5 [Source:VB Community Annotation]
AGAP002141	0	0.02	0	0.626	0	0	0.983	0.624	0.947	0.904	0	0.068	0.002	0.1	0.044	0.197	0.437	0.936	0.484	0.667	0.604	0.271	0.198	0.04	0.983	""	protein phosphatase PTC7 homolog fig [Source:VB Community Annotation]
AGAP028164	0	0.613	0.336	0.011	0	0	0.984	0.001	0	0.001	0.853	0.741	0.19	0.456	0.524	0.719	0.016	0.053	0.02	0	0.037	0.787	0.295	0.02	0.093	""	""
AGAP007810	0	0.075	0.001	0.374	0.883	0.565	0.93	0.069	0.001	0.1	0.086	0.763	0.143	0.988	0.163	0.878	0.058	0.374	0.112	0.278	0.484	0.786	0.223	0.122	0.44	""	DNA-directed RNA polymerase II subunit RPB1 [Source:VB Community Annotation]
AGAP001933	0	0.304	0.001	0.449	0.015	0.836	0.143	0.805	0.005	0.015	0.863	0	0.472	0	0.01	0	0.009	0.295	0.037	0.431	0.036	0.108	0.009	0.377	0	""	kinase [Source:VB Community Annotation]
AGAP002272	0	0.04	0.125	0	0	0.001	0.821	0.577	0.378	0.151	0.799	0.144	0.146	0.001	0.316	0.018	0.076	0.958	0.246	0.817	0.071	0.251	0.427	0.201	0.326	""	ankyrin [Source:VB Community Annotation]
AGAP002608	0	0.948	0.006	0.091	0.443	0.024	0.016	0.14	0.403	0.222	0.389	0.211	0.129	0.069	0.394	0.313	0.129	0.521	0.717	0.772	0.807	0.016	0.079	0.193	0.126	""	Ribokinase [Source:UniProtKB/TrEMBL;Acc:Q7QCF9]
AGAP012433	0	0.575	0	0	0	0.928	0.367	0.817	0.736	0.428	0.002	0	0.007	0	0.03	0.001	0.001	0.137	0.047	0.016	0.008	0.113	0.483	0.61	0.74	""	""
AGAP003827	0	0.832	0.965	0.003	0.786	0.516	0.154	0.001	0.319	0.904	0.082	0.365	0.104	0.6	0.01	0.158	0	0	0	0	0	0	0	0	0.045	""	""
AGAP006633	0	0.303	0	0	0.036	0.735	0.456	0.245	0.503	0.229	0.411	0.808	0.984	0.108	0.752	0.185	0.036	0.468	0.042	0.23	0.275	0.161	0.917	0.31	0.684	""	Syntrophin, gamma 2 [Source:VB Community Annotation]
AGAP029102	0	0.465	0	0.837	0	0	0.867	0.701	0.195	0.009	0.527	0.02	0.802	0.029	0.059	0.001	0.467	0.383	0.669	0.548	0.413	0	0.369	0	0.117	""	""
AGAP007580	0	0.544	0.209	0	0	0.016	0.483	0.876	0.123	0.027	0.563	0.933	0.327	0.729	0.667	0.853	0	0.461	0.624	0.5	0.803	0.028	0.523	0.003	0.029	RpL18	60S ribosomal protein L18 [Source:UniProtKB/Swiss-Prot;Acc:Q7QJM5]
AGAP002374	0	0	0	0.597	0	0.727	0.772	0.011	0.001	0.01	0.441	0.484	0.012	0.079	0.003	0.029	0	0.027	0.199	0.304	0.236	0.412	0.455	0.149	0.282	""	heterogeneous nuclear ribonucleoprotein A1/A3 [Source:VB Community Annotation]
AGAP001624	0	0.99	0.004	0	0	0.946	0.139	0.008	0.346	0.023	0.947	0	0.935	0	0.529	0.003	0.033	0.357	0.09	0.003	0.036	0	0.12	0.006	0.07	""	""
AGAP001099	0	0.319	0.041	0	0.38	0.049	0.892	0.105	0.872	0.752	0.659	0.261	0.335	0.096	0.05	0.003	0	0.113	0.093	0.009	0.058	0.916	0.297	0.714	0.312	""	Polybromo-1 [Source:VB Community Annotation]
AGAP010110	0	0.914	0	0.033	0	0.314	0.008	0	0	0	0.624	0.002	0.531	0.002	0.562	0.001	0.021	0.077	0.635	0.243	0.716	0.061	0.32	0.071	0.036	""	""
AGAP003354	0	0.629	0	0.266	0	0.456	0.449	0	0	0	0.319	0.321	0.004	0.003	0.004	0.003	0	0.011	0	0	0	0.179	0.675	0.331	0.843	A5R3	antigen 5 related protein 3 [Source:VB Community Annotation]
AGAP000215	0	0.154	0.357	0	0.371	0.166	0.741	0.847	0.184	0.453	0.489	0.194	0.675	0.119	0.88	0.103	0.023	0.028	0.108	0.321	0.346	0.183	0.07	0.309	0.579	""	homeobox protein OTX [Source:VB Community Annotation]
AGAP003207	0	0.842	0	0.18	0.637	0.071	0.38	0.175	0.177	0.366	0.488	0.365	0.989	0.968	0.681	0.683	0.714	0.882	0.723	0.994	0.603	0.116	0.778	0.687	0.327	""	signal peptide peptidase-like 3 [Source:VB Community Annotation]
AGAP002371	0	0.944	0	0.745	0.001	0.491	0.576	0.634	0	0	0.124	0.072	0.008	0.004	0	0	0.658	0.865	0.232	0.813	0.304	0.047	0.147	0.65	0.032	""	""
AGAP009246	0	0.428	0.009	0.005	0	0.927	0	0	0	0	0.891	0.518	0.225	0.061	0.125	0.025	0.351	0	0.176	0.678	0.819	0.019	0.862	0.002	0.042	CYP4C27	cytochrome P450 [Source:VB Community Annotation]
AGAP007846	0	0.686	0.543	0	0	0	0.979	0.662	0.335	0.023	0.131	0.291	0.126	0.255	0.228	0.612	0.06	0.79	0.434	0.801	0.79	0.563	0.033	0.687	0.203	""	""
AGAP007656	0	0	0.083	0.041	0	0.542	0.145	0.281	0.112	0.072	0.147	0.029	0.65	0.357	0.772	0.592	0.172	0.363	0.027	0.207	0.031	0	0	0	0.58	""	""
AGAP011109	0	0.038	0	0.377	0.899	0.318	0.266	0.824	0.779	0.508	0	0.271	0	0.197	0	0.017	0.834	0.177	0.208	0.702	0.406	0	0.194	0	0.282	""	C2 domain-containing protein 3 [Source:VB Community Annotation]
AGAP007887	0	0.673	0.218	0	0.003	0.689	0.717	0.001	0.018	0.001	0.969	0.001	0.504	0	0.064	0	0	0.072	0.004	0.136	0.012	0	0	0	0.896	""	""
AGAP012190	0	0.086	0.463	0	0.046	0.03	0.991	0.735	0.001	0.001	0	0	0.004	0	0.001	0	0.378	0.278	0.921	0.905	0.674	0.939	0.346	0.423	0	""	""
AGAP009535	0	0.001	0.009	0	0.263	0.807	0.952	0.819	0.205	0.047	0.219	0.575	0.034	0.119	0.031	0.106	0.008	0.334	0.002	0.047	0.001	0	0.003	0.006	0.001	""	""
AGAP006774	0	0.984	0.966	0	0.841	0.076	0.935	0.973	0.069	0.017	0.127	0.677	0.051	0.574	0.24	0.835	0.109	0.29	0.143	0.219	0.517	0	0.005	0.001	0.907	""	FCH and double SH3 domains protein 2 [Source:VB Community Annotation]
AGAP004746	0	0.005	0.011	0	0.017	0.759	0.935	0.282	0.066	0.071	0.687	0.005	0.439	0	0.891	0	0	0.007	0	0	0	0.626	0.358	0.055	0.605	Thoc5	THO complex subunit 5 [Source:VB Community Annotation]
AGAP010826	0	0.866	0.007	0.008	0.741	0.316	0.068	0.212	0.029	0.004	0.728	0.682	0	0.001	0.12	0.556	0.094	0.87	0.423	0.144	0.086	0	0.003	0.006	0.555	CASPS13	short caspase 13 [Source:VB Community Annotation]
AGAP002724	0	0.359	0.474	0.646	0.822	0.952	0.191	0.123	0.11	0.015	0.904	0.227	0.918	0.381	0.719	0.167	0.008	0.352	0.753	0.02	0.37	0.999	0.147	0.45	0	""	""
AGAP001914	0	0.771	0.959	0.018	0	0	0.98	0.589	0	0	0.466	0.571	0.347	0.498	0.97	0.846	0.001	0.269	0.4	0.969	0.889	0.204	0.17	0.045	0.466	""	cell division cycle protein 37 [Source:VB Community Annotation]
AGAP009945	0	0.741	0.013	0.824	0.001	0.956	0	0	0	0	0.644	0.002	0.799	0.024	0.442	0.308	0.122	0.433	0.886	0.64	0.076	0	0	0	0	""	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [Source:VB Community Annotation]
AGAP012754	0	0.287	0	0.192	0	0.835	0.001	0.884	0.416	0.792	0.128	0.509	0.703	0.136	0.251	0.316	0	0.007	0.001	0	0	0	0.055	0	0.151	""	ubiquitin-conjugating enzyme E2 E1 [Source:VB Community Annotation]
AGAP009974	0	0	0	0.377	0.035	0.491	0	0.614	0.001	0	0	0.074	0	0.022	0	0.014	0.915	0.887	0.359	0.807	0.28	0	0	0	0.941	AAPP	anopheline antiplatelet protein [Source:VB Community Annotation]
AGAP008201	0	0.368	0.241	0	0	0.012	0.98	0.945	0.602	0.225	0.453	0.398	0.048	0.04	0.2	0.18	0	0.102	0.058	0.195	0.499	0	0.016	0.051	0.001	""	potassium voltage-gated channel subfamily C member 1 isoform B [Source:VB Community Annotation]
AGAP001867	0	0.001	0	0.011	0	0.349	0.722	0.058	0	0	0.566	0.256	0.308	0.403	0.466	0.381	0.001	0.667	0.009	0.127	0.169	0.303	0.022	0.096	0.002	""	mitogen-activated protein kinase kinase 7 [Source:VB Community Annotation]
AGAP003167	0	0.392	0	0.492	0.585	0	0.681	0	0	0	0.794	0.263	0.347	0.681	0.664	0.149	0.429	0.791	0.331	0.957	0.845	0.001	0	0.035	0.166	""	NAD(P) transhydrogenase [Source:VB Community Annotation]
AGAP000376	0	0.017	0.187	0.779	0	0	0.62	0	0.004	0	0	0.006	0	0	0	0.049	0.267	0.352	0.002	0.142	0.029	0	0.015	0.244	0.589	Tsf1	Transferrin [Source:UniProtKB/TrEMBL;Acc:Q7QF98]
AGAP029120	0	0.384	0	0	0.015	0.084	0.932	0.65	0.117	0.968	0.369	0.751	0.276	0.602	0.072	0.812	0.048	0.095	0.357	0.398	0.517	0.841	0.646	0.365	0.448	""	""
AGAP003844	0	0.867	0	0.011	0.276	0	0.62	0.089	0	0	0.906	0	0.488	0.001	0.123	0	0.001	0.216	0.001	0.097	0.001	0	0	0.006	0	""	Class b basic helix-loop-helix protein [Source:VB Community Annotation]
AGAP004379	0	0.664	0.859	0.707	0	0	0.639	0.95	0.442	0.206	0.213	0.513	0.476	0.059	0.506	0.29	0.577	0.699	0.582	0.433	0.485	0	0.004	0	0.258	GSTD6	glutathione S-transferase delta class 6 [Source:VB Community Annotation]
AGAP001417	0	0.958	0.375	0	0.225	0.874	0.145	0.076	0	0	0.522	0.018	0.759	0.06	0.734	0.109	0.403	0.132	0.013	0.535	0.067	0.001	0.001	0	0	""	Brain protein 44-like protein [Source:VB Community Annotation]
AGAP003652	0	0.072	0	0.844	0.001	0.661	0.01	0	0	0	0.167	0.55	0.197	0.466	0.113	0.366	0.197	0.87	0	0.192	0.056	0.757	0.181	0.945	0.625	""	aldehyde dehydrogenase (NAD+) [Source:VB Community Annotation]
AGAP012168	0	0.883	0.524	0.371	0.2	0.113	0.386	0.641	0.935	0.904	0.932	0.001	0.021	0	0.012	0	0	0.043	0.013	0.23	0.002	0	0	0.003	0.58	""	Rho GDP-dissociation inhibitor [Source:VB Community Annotation]
AGAP007298	0	0.025	0.013	0.759	0.501	0.001	0.901	0.179	0.599	0.664	0.124	0.631	0.002	0.843	0	0.469	0.041	0.803	0.035	0.615	0.032	0	0.001	0	0	""	""
AGAP009270	0	0.8	0.051	0	0	0.002	0.083	0.039	0.026	0.004	0.997	0.295	0.714	0.126	0.164	0.022	0.176	0.332	0.158	0.505	0.276	0	0.001	0	0.871	""	""
AGAP005032	0	0.081	0.761	0	0.466	0.039	0.162	0.549	0.411	0.017	0	0.069	0.029	0.47	0.947	0.429	0.209	0.285	0.061	0.286	0.004	0.136	0.963	0.572	0.113	""	calnexin [Source:VB Community Annotation]
AGAP009441	0	0.006	0	0.002	0.036	0.656	0.175	0.629	0	0.011	0.919	0.403	0.671	0.54	0.524	0.891	0.272	0.726	0.269	0.405	0.144	0.104	0.723	0.114	0.011	""	elongation factor 2 [Source:VB Community Annotation]
AGAP002550	0	0.328	0.39	0.007	0.004	0	0.83	0.278	0	0	0.019	0.001	0.3	0.042	0.374	0.044	0.278	0.861	0.305	0.856	0.875	0.038	0.106	0.126	0	""	""
AGAP005009	0	0.175	0.797	0.028	0.515	0.273	0	0	0	0	0.975	0.275	0.426	0.007	0.94	0.283	0.483	0.34	0.175	0.153	0.443	0	0.002	0.081	0	""	Pyrroline-5-carboxylate reductase [Source:UniProtKB/TrEMBL;Acc:Q7PPH9]
AGAP005490	0	0.75	0.45	0	0.001	0.581	0.566	0.594	0.264	0.033	0.54	0.593	0.448	0.461	0.288	0.293	0.002	0.219	0	0.21	0.175	0	0	0	0.526	""	voltage-dependent calcium channel alpha-2/delta, invertebrate [Source:VB Community Annotation]
AGAP009118	0	0.515	0.978	0	0	0.016	0.836	0.33	0.104	0.001	0.725	0.269	0.55	0.169	0.27	0.069	0	0.038	0.001	0.001	0.033	0	0	0	0.005	""	chondroitin 4-sulfotransferase [Source:VB Community Annotation]
AGAP011093	0	0.984	0	0.32	0.139	0.983	0.061	0.029	0.901	0.597	0.555	0.202	0.169	0.042	0.504	0.209	0.598	0.137	0.144	0.865	0.982	0.977	0.971	0.456	0	""	""
AGAP009648	0	0.042	0.201	0	0.127	0.397	0.094	0	0	0	0.034	0.8	0.009	0.752	0.015	0.947	0.007	0.001	0.007	0.253	0.137	0.146	0.847	0.993	0.015	""	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [Source:VB Community Annotation]
AGAP000028	0	0.097	0.738	0.538	0.005	0.568	0.288	0.142	0.229	0.229	0.64	0	0.371	0	0.11	0	0.068	0.399	0.36	0.38	0.686	0.002	0.947	0	0.577	""	calcium/calmodulin-dependent protein kinase (CaM kinase) II [Source:VB Community Annotation]
AGAP000237	0	0.042	0.008	0.788	0.921	0.12	0.108	0	0.001	0.113	0.079	0.959	0.011	0.35	0.016	0.441	0.01	0.841	0.625	0.539	0.974	0.245	0.004	0	0.014	""	cAMP response element-binding protein (CREB) [Source:VB Community Annotation]
AGAP001669	0	0.225	0.008	0.069	0.009	0.874	0	0	0	0							0.764	0.812	0.558	0.702	0.568	0.161	0.233	0.954	0.166	CPR6	cuticular protein RR-2 family 6 [Source:VB Community Annotation]
AGAP002879	0	0.791	0	0	0	0.001	0.121	0.683	0.027	0.04	0.642	0	0.57	0	0.189	0	0.879	0.242	0.06	0.127	0.307	0.017	0.182	0.069	0	""	cathepsin F [Source:VB Community Annotation]
AGAP007736	0	0.749	0.444	0	0	0	0.486	0.773	0.718	0.279	0.068	0	0.055	0	0.101	0	0	0.084	0	0.001	0	0.013	0.947	0.749	0.282	""	""
AGAP013079	0	0	0.003	0	0.001	0	0	0	0	0	0	0	0.001	0.002	0	0	0.001	0.106	0	0	0	0	0.159	0	0.927	""	""
AGAP003140	0	0.162	0.551	0.001	0	0	0.433	0.599	0.744	0.243	0.083	0.926	0.195	0.619	0.062	0.779	0.002	0.024	0	0.617	0.005	0	0	0	0.018	""	neurofibromin 1 [Source:VB Community Annotation]
AGAP005404	0	0.446	0.006	0.304	0.557	0.089	0.98	0.346	0.584	0.138	0.021	0	0.73	0.036	0.007	0	0.001	0.17	0.12	0.714	0.46	0	0.047	0.042	0.111	""	lectin, mannose-binding 1 [Source:VB Community Annotation]
AGAP001287	0	0.009	0.261	0.01	0.129	0.085	0.896	0.943	0.065	0.006	0.808	0.757	0.972	0.939	0.933	0.928	0.043	0.409	0.238	0.526	0.978	0.018	0.152	0.149	0.462	""	""
AGAP002110	0	0.033	0	0.32	0.02	0	0.145	0	0.618	0.852	0.766	0.285	0.515	0.834	0.397	0.095	0	0.726	0.286	0.873	0.969	0.111	0.102	0.183	0.26	""	cell division control protein 7 [Source:VB Community Annotation]
AGAP005175	0	0.089	0.153	0.019	0.92	0.509	0.998	0	0	0	0.532	0.552	0.978	0.968	0.26	0.207	0.073	0.328	0.165	0.029	0.312	0.102	0.126	0.44	0.014	""	acetyl-CoA carboxylase / biotin carboxylase [Source:VB Community Annotation]
AGAP000842	0	0.007	0.978	0.033	0.002	0.005	0.888	0.675	0.67	0.572	0.088	0	0.042	0	0.038	0	0.795	0.931	0.477	0.929	0.685	0.987	0.911	0.049	0.865	""	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1 [Source:VB Community Annotation]
AGAP006680	0	0.767	0	0.411	0	0	0.011	0.002	0	0	0.207	0.954	0.797	0.402	0.499	0.904	0.1	0.175	0.484	0.796	0.95	0.044	0.427	0.005	0.518	""	""
AGAP005173	0	0.859	0.098	0.053	0	0.013	0.152	0.067	0.401	0.971	0	0	0.001	0	0.001	0	0.513	0.426	0.552	0.623	0.531	0.17	0.002	0	0.98	""	Px serine/threonine kinase [Source:VB Community Annotation]
AGAP004551	0	0.312	0.329	0.071	0	0	0.004	0.004	0	0	0.001	0.004	0	0	0	0	0.003	0.364	0.505	0.168	0.179	0	0.001	0.157	0.75	""	gamma-interferon-inducible lysosomal thiol reductase [Source:VB Community Annotation]
AGAP006678	0	0.216	0	0.832	0	0.001	0.424	0.001	0.577	0.935	0.002	0.168	0.001	0.122	0	0.038	0.105	0.102	0.925	0.835	0.545	0	0.125	0	0.563	""	cyclin T [Source:VB Community Annotation]
AGAP011959	0	0.685	0.152	0.751	0	0.166	0.214	0.221	0.673	0.258	0.69	0.11	0.302	0.591	0.679	0.282	0.682	0.552	0.522	0.459	0.397	0.364	0.158	0.166	0.218	king-tubby	Protein king tubby [Source:UniProtKB/Swiss-Prot;Acc:Q7PZK5]
AGAP008163	0	0	0.013	0	0	0.574	0.234	0.048	0	0	0.002	0.24	0.06	0.033	0.104	0.032	0.012	0.017	0.128	0.022	0.056	0.1	0.295	0.776	0	""	U4/U6 small nuclear ribonucleoprotein SNU13 [Source:VB Community Annotation]
AGAP000500	0	0.848	0.618	0.598	0.889	0	0.541	0.919	0.682	0.677	0.028	0	0.1	0	0.479	0	0.066	0.479	0.629	0.67	0.282	0	0	0.001	0.563	Cpr	NADPH cytochrome P450 reductase [Source:VB Community Annotation]
AGAP009921	0	0.864	0.278	0	0.671	0.972	0.21	0.624	0.511	0.625	0.018	0	0	0	0	0	0.025	0.58	0.359	0.682	0.319	0	0.002	0.008	0.102	""	importin subunit beta-1 [Source:VB Community Annotation]
AGAP000138	0	0.757	0.188	0	0.009	0.051	0.774	0.542	0.07	0.002	0.385	0.742	0.799	0.13	0.565	0.424	0.061	0.365	0.375	0.544	0.862	0	0.006	0	0.802	alpha4	nicotinic acetylcholine receptor subunit alpha 4 [Source:VB Community Annotation]
AGAP005789	0	0.51	0.048	0	0.734	0.58	0.283	0.634	0.148	0.572	0.373	0.3	0.533	0.48	0.294	0.245	0.001	0.181	0.001	0.075	0	0.766	0.286	0.1	0.002	""	""
AGAP000241	0	0.001	0.413	0	0.05	0	0	0	0.047	0.001	0.801	0.188	0.726	0.045	0.059	0	0.002	0.054	0.062	0.026	0.029	0.861	0.259	0.913	0	""	N-acetylglucosamine kinase [Source:VB Community Annotation]
AGAP009274	0	0.999	0.854	0	0.004	0.108	0.901	0.939	0.423	0.313	0.001	0.445	0.051	0.507	0.038	0.991	0.021	0.332	0.322	0.327	0.773	0.59	0.759	0.345	0.663	""	facilitated trehalose transporter Tret1-2 homolog [Source:VB Community Annotation]
AGAP013097	0	0.001	0.001	0.026	0	0	0.938	0.724	0.74	0.511	0.163	0	0.031	0	0.135	0.002	0.014	0.299	0.012	0.036	0.009	0.817	0.911	0.778	0.563	""	""
AGAP009531	0	0.728	0.799	0	0.22	0	0.681	0.142	0.162	0.018	0.207	0.079	0.186	0.073	0.001	0	0.582	0.094	0.982	0.238	0.864	0	0	0	0.408	""	""
AGAP000750	0	0	0.002	0.612	0.002	0	0.559	0	0	0	0.607	0	0.137	0.65	0.01	0.511	0.492	0.888	0.234	0.655	0.854	0.068	0.004	0	0.612	""	""
AGAP010228	0	0.359	0.041	0.269	0.041	0.557	0.307	0	0	0	0.465	0.278	0.593	0.365	0.824	0.642	0.185	0.49	0.554	0.715	0.93	0.489	0.736	0.179	0.44	""	3-methylcrotonyl-CoA carboxylase alpha subunit [Source:VB Community Annotation]
AGAP007061	0	0.849	0.109	0	0.177	0	0.031	0.83	0.043	0	0.001	0.002	0.001	0.001	0.075	0.089	0	0.21	0.01	0.001	0.004	0.707	0.014	0.391	0.334	""	""
AGAP004400	0	0.588	0.004	0	0.889	0.118	0.965	0.794	0.307	0.222	0.004	0	0.002	0	0.001	0		0.849	0.453	0.251	0.406	0.247	0.058	0.017	0.022	""	""
AGAP001993	0	0.558	0.156	0.017	0.077	0.2	0.995	0	0.269	0.274	0.394	0	0.039	0	0.246	0	0.573	0.946	0.415	0.58	0.847	0.508	0.902	0.933	0.736	""	RNA-binding protein Musashi [Source:VB Community Annotation]
AGAP006136	0	0.435	0.187	0.02	0	0	0.083	0.228	0.234	0.038	0.305	0.489	0.616	0.798	0.384	0.582	0.467	0.626	0.848	0.904	0.623	0.471	0.002	0.091	0.876	""	monocyte to macrophage differentiation factor 2 [Source:VB Community Annotation]
