GeneID	GeneName	GeneDescription	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu	Asendabo_v_Moz	Chewaka_v_Moz	Tolay_v_Moz	Ethiopia_v_Dongola	Gou_v_Moz	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AGAP011827		acetyl-CoA acyltransferase [Source:VB Community Annotation]	-0.67	-0.17	0.66	0.24	0.3	0.33	1.6	1.91	1.54	0.16	-0.54	0.01	-0.7	-0.34	-1.04	0.17	0.81	1.17	-0.28	-0.08	0.21	0.94	0.02	0.28	0.05	-0.17	0.18	-0.23
AGAP005459	CPR16	cuticular protein RR-1 family 16 [Source:VB Community Annotation]	-0.38	0.22	-0.36	0.41	0.67	0.62	1.52	1.8	2.11	0.81	2.22	0.44	1.83	0.55	1.96	0.28	-0.26	-1.57	0.86	0.47	1.52	1.64	1.2	-0.15	-0.6	-0.48	-0.57	-0.63
AGAP012946			-0.7	-0.47	0.05	0.53	0.5	0.31	0.75	1.43	2.12	-1.37	-0.52	-1.0	-0.18	-0.97	-0.13	-0.06	-0.58	1.84	1.92	0.61	1.0	0.76	0.12	-0.1	-0.05	-0.22	0.16	0.01
AGAP004529			-1.0	1.22	1.18	0.8	1.17	0.38	-0.1	-0.22	-0.17	0.53	0.42	0.77	0.64	0.8	0.69	-0.31	1.74	-0.07	2.85	1.38	1.84	0.56	-0.98	-0.2	0.05	0.47	0.18	-0.17
AGAP006247		Survival of motor neuron-related-splicing factor 30 [Source:VB Community Annotation]	-0.44	-0.07	0.18	0.03	-0.1	-0.04	-0.07	0.09	0.05	0.45	0.1	0.55	0.18	0.47	0.12	0.02	0.07	0.08	-0.01	-0.03	-0.01	-0.04	-0.31	0.47	0.38	0.2	0.38	0.34
AGAP004256			-0.31	-0.39	0.16	-0.25	-0.04	-0.41	-0.55	-0.88	-0.99	0.29	0.34	0.12	0.15	-0.1	-0.05	-0.34	0.05	-0.06	0.99	0.17	0.2	0.4	0.07	0.0	0.02	0.06	-0.08	0.12
AGAP011053			0.77	0.66	0.22	-0.04	-0.27	0.81	1.58	1.33	1.11	0.24	-0.12	0.76	0.38	0.85	0.48	-0.17	0.49	0.26	0.21	0.4	0.82	1.87	0.23	-0.02	0.38	0.1	0.26	-0.21
AGAP029126			-1.57	-1.35	-0.03	0.73	-0.76	0.9	1.01	1.87	1.24	6.98	-0.36	7.36	0.0	7.41	0.07	1.22	0.64	-1.2	-0.37	0.08	-0.54	0.15	-0.29	-0.13	0.12	0.43	0.71	-0.02
AGAP009424			-0.46	-0.23	-0.12	0.18	0.05	0.37	0.54	0.13	-0.04	-0.87	-0.04	-0.81	0.01	-1.2	-0.37	-0.42	-0.22	0.04	-0.39	-0.25	-0.16	-0.37	0.89	-0.51	-0.03	-0.41	-0.5	-0.31
AGAP006871	RpS4	40S ribosomal protein S4 [Source:UniProtKB/TrEMBL;Acc:Q7PT95]	-0.26	0.01	0.21	-0.29	-0.13	-0.03	-0.39	-0.16	-0.11	0.05	0.02	0.09	0.05	0.0	-0.03	0.04	0.21	-0.09	0.03	0.14	-0.03	-0.07	0.11	0.1	-0.02	0.09	-0.26	0.01
AGAP004463		ribosomal RNA-processing protein 17 [Source:VB Community Annotation]	0.4	0.03	0.23	0.02	0.21	0.26	0.01	-0.08	0.1	0.56	-0.69	0.1	-1.16	0.04	-1.2	0.19	-0.04	0.12	-0.08	0.08	-0.4	-0.21	-0.71	0.34	0.0	-0.04	-0.06	0.14
AGAP012763		cyclin-related protein FAM58A [Source:VB Community Annotation]	1.32	1.21	0.23	-0.11	0.55	-0.95	-0.65	-0.71	-0.11							0.67	1.32	-1.37	-0.86	-0.64	-0.52	-0.31	-1.29	0.49	0.44	0.18	0.34	0.11
AGAP006255			-0.44	-0.41	0.0	-0.08	-0.01	-0.13	0.03	0.22	-0.1	0.01	0.38	0.06	0.43	0.14	0.52	0.03	0.27	0.27	0.12	0.25	0.34	0.01	0.12	0.6	0.71	0.55	0.58	0.58
AGAP001583			0.42	-0.04	-0.05	0.02	-0.22	-0.75	-0.26	-0.5	-0.86	-0.46	-0.12	-0.55	-0.23	-0.69	-0.35	0.08	-0.43	-0.24	-0.37	-0.26	-0.16	-0.27	0.51	0.2	0.57	0.51	0.33	0.48
AGAP011467	Or5	odorant receptor 5 [Source:VB Community Annotation]	-2.49	-5.72	-0.7	0.84	-0.78	-2.77	-1.51	-3.85	-2.27	-0.25	-4.78	1.02	-3.51	1.6	-2.91	0.87	-3.65	0.71	0.74	-0.24	2.37	-1.06	0.48	0.21	0.36	1.63	1.94	1.22
AGAP009925	Nkd	Protein naked cuticle homolog [Source:UniProtKB/Swiss-Prot;Acc:Q08AA9]	0.6	0.32	-0.28	0.27	0.3	0.24	0.02	0.21	0.11	-0.56	0.14	-0.35	0.33	-0.24	0.46	0.43	0.47	-0.47	-0.21	-0.12	0.41	-0.09	0.02	-0.06	-0.23	-0.2	-0.21	-0.19
AGAP011620		collagen, type I/II/III/V/XI/XXIV/XXVII alpha [Source:VB Community Annotation]	1.18	0.89	-0.82	0.53	-1.38	-0.21	0.66	-0.8	-0.32	0.64	-0.51	1.51	0.36	1.01	-0.11	-0.6	-0.83	-2.92	0.8	0.75	1.32	-2.11	0.78	-0.56	0.05	0.16	-0.03	-0.37
AGAP006945		DNA repair and recombination protein RAD54B [Source:VB Community Annotation]	-0.51	-0.41	-0.06	-0.47	-0.43	-0.11	-0.72	-0.75	-0.67	0.08	-0.93	0.0	-1.02	-0.01	-1.01	-0.3	-0.69	0.26	0.15	0.64	0.24	-0.55	0.61	0.24	0.45	0.35	0.36	0.39
AGAP003317			0.62	0.51	-0.33	0.01	0.29	0.59	1.17	1.49	1.5	-0.14	0.71	0.12	0.95	0.09	0.93	0.55	0.6	-0.52	0.98	0.42	1.12	0.49	0.82	-0.25	-0.13	-0.34	-0.37	-0.52
AGAP004437		Glycerol-3-phosphate dehydrogenase [Source:UniProtKB/TrEMBL;Acc:F5HLN3]	-0.49	0.33	1.13	0.18	0.86	-0.9	-0.38	0.74	0.63	0.25	2.28	0.21	2.22	-0.13	1.9	0.01	0.9	0.17	0.4	0.11	0.36	3.67	-0.08	-0.68	-0.99	-0.81	-0.78	-1.12
AGAP001807	GPRGPH	putative glycoprotein hormone gph-like receptor [Source:VB Community Annotation]	0.92	0.54	-0.84	-0.58	-0.42	0.14	-0.59	-0.62	-0.81	-0.38	0.22	-0.12	0.48	0.0	0.61	0.51	0.43	-0.95	-0.95	-1.08	-1.39	-0.49	-0.46	-0.56	-0.33	-0.08	-0.08	-0.15
AGAP002396		dolichyl-diphosphooligosaccharide--protein glycosyltransferase [Source:VB Community Annotation]	-0.32	-0.26	-0.18	-0.45	-0.21	-0.06	0.03	0.04	0.14	-0.25	-0.98	-0.29	-1.04	-0.3	-1.02	-0.25	-0.36	0.37	0.35	-0.15	0.0	0.55	0.17	0.25	0.24	0.05	0.22	0.0
AGAP007107		DnaJ homolog subfamily B member 4 [Source:VB Community Annotation]	-0.38	-0.39	2.36	-0.29	-0.71	-0.26	-0.36	1.23	0.07	-0.63	0.83	-0.36	1.09	0.0	1.46	-2.72	4.16	0.72	1.49	1.89	1.66	-0.61	-1.68	-2.46	-2.07	-3.11	-3.03	-3.26
AGAP003268		sex comb on midleg-like protein 2 [Source:VB Community Annotation]	-0.43	-0.16	0.35	0.05	-0.04	0.08	0.46	0.24	0.11	-0.79	-0.7	-0.65	-0.57	-0.79	-0.69	-0.34	-0.54	0.55	0.18	-0.03	-0.14	0.01	0.39	-0.05	-0.21	-0.1	-0.13	-0.07
AGAP009865		NADH dehydrogenase (ubiquinone) 1 beta subcomplex 9 [Source:VB Community Annotation]	0.31	0.47	0.47	0.06	0.22	-0.17	-0.15	0.17	0.06	0.41	1.23	0.49	1.3	0.41	1.24	0.02	0.48	0.02	0.51	0.49	0.72	1.27	0.03	-0.25	-0.35	-0.66	-0.37	-0.83
AGAP029054			-0.74	-0.22	0.35	-0.49	-1.17	0.21	1.05	2.9	2.9	-1.18	1.39	-1.12	1.44	-0.6	1.97	-0.02	0.59	0.41	-0.13	0.19	0.16	1.81	0.95	-0.21	-0.46	-0.35	-0.19	-0.53
AGAP008354		Janus kinase 2 [Source:VB Community Annotation]	-0.37	-0.51	0.21	-0.11	-0.18	0.19	0.38	-0.36	-0.34	-0.57	-0.75	-1.02	-1.22	-1.31	-1.49	-0.64	-0.23	0.1	0.43	0.46	0.42	-0.26	0.46	0.06	0.05	0.11	0.15	0.29
AGAP007483		Sugar transporter ERD6-like 4 [Source:VB Community Annotation]	-1.89	-0.98	0.02	-0.3	0.55	-2.83	0.07	0.52	-2.93	-1.51	0.09	0.03	1.65	-1.89	-0.28	-0.1	-0.43	1.21	1.42	0.05	-0.52	0.01	-0.32	-0.43	0.58	0.36	1.61	0.52
AGAP006204			0.38	0.2	0.08	-0.04	0.21	0.22	-0.19	0.33	0.26	0.1	-0.13	-0.17	-0.41	0.15	-0.07	0.12	0.02	0.42	0.03	-0.14	0.01	-0.15	-0.94	0.62	0.71	0.5	0.9	0.39
AGAP010728			0.43	-0.33	-0.04	-0.11	-0.07	-0.05	-0.13	0.0	0.21	-0.08	-0.85	0.11	-0.68	0.36	-0.41	-0.03	-0.43	0.9	-0.18	-0.03	-0.24	-0.62	-0.18	0.15	0.08	0.09	0.04	0.04
AGAP006873		Ras-related protein Rab-8A [Source:VB Community Annotation]	0.52	0.05	-1.36	0.28	0.08	0.04	-0.52	-0.68	-0.88	0.11	0.46	0.23	0.57	0.59	0.94	0.54	0.05	-1.01	-0.83	-0.93	-0.55	-0.41	-0.3	-0.55	-0.65	-0.61	-0.6	-0.68
AGAP007114		RING finger and CCCH-type zinc finger domain-containing protein [Source:VB Community Annotation]	0.34	0.07	0.12	0.22	0.03	-0.1	0.4	-0.01	-0.09	-0.89	-1.06	-1.12	-1.3	-1.53	-1.69	-0.3	-0.4	0.09	0.17	-0.12	-0.07	0.24	0.41	-0.33	-0.16	-0.13	-0.23	-0.12
AGAP011421		IQ motif and SEC7 domain-containing protein [Source:VB Community Annotation]	0.32	0.15	-0.21	-0.29	-0.19	-0.36	-0.16	-1.07	-1.03	-0.35	-0.34	-0.38	-0.39	-0.78	-0.76	0.16	0.26	-1.24	0.03	0.07	-0.07	-0.37	-0.32	-0.36	-0.17	-0.29	-0.33	-0.15
AGAP000317			0.6	0.45	-0.64	0.12	-0.01	-0.26	-0.58	-0.33	-0.75	-0.65	0.7	-0.51	0.83	-0.33	1.03	0.9	-0.05	-0.47	-0.69	-0.35	-0.46	0.9	0.15	-0.47	-0.88	-0.65	-0.4	-0.56
AGAP005980		retinol dehydrogenase 13 (all-trans/9-cis) [Source:VB Community Annotation]	0.44	0.06	-0.05	-0.43	0.13	0.41	0.24	0.28	0.52	-0.33	-0.23	0.06	0.14	-0.14	-0.04	0.12	0.29	0.26	0.06	-0.23	0.38	0.33	0.55	-0.41	-0.41	-0.33	-0.39	-0.5
AGAP000165	GSTMS1	glutathione transferase microsomal 1 [Source:VB Community Annotation]	0.42	0.24	0.06	0.55	0.19	0.42	0.33	0.8	1.32	1.21	0.68	1.32	0.78	1.48	0.95	0.22	0.44	-0.17	-0.01	-0.09	0.12	0.6	-0.12	-0.65	-0.3	0.19	-0.37	-0.15
AGAP012307		Spondin-1 [Source:VB Community Annotation]	0.41	0.06	-0.86	0.34	0.2	-0.07	0.0	0.29	0.01	0.1	0.99	0.12	0.99	0.13	1.02	-0.17	0.14	0.01	-0.44	-0.14	-0.36	0.87	0.26	0.19	-0.22	-0.18	-0.19	-0.2
AGAP010626		PAB-dependent poly(A)-specific ribonuclease subunit 2 [Source:VB Community Annotation]	-0.41	-0.63	-0.14	0.07	-0.11	0.0	0.09	0.17	0.09	-0.24	0.32	-0.12	0.43	-0.33	0.24	0.24	0.0	0.91	-0.07	0.02	-0.04	0.04	0.55	0.08	-0.13	0.06	0.0	0.1
AGAP010690			0.46	0.17	0.44	0.11	0.04	0.13	-0.02	-0.28	-0.02	0.45	-0.66	0.0	-1.13	0.08	-1.03	0.19	0.02	-0.36	0.17	0.1	-0.25	-0.85	-0.66	0.08	-0.4	0.01	0.06	0.09
AGAP007933		beat protein [Source:VB Community Annotation]	0.94	0.64	-0.68	0.0	-0.87	-0.05	-0.77	-0.71	-1.04	0.23	1.05	0.11	0.92	0.3	1.13	-0.02	0.13	-1.62	-0.39	-0.43	-0.07	-0.03	-0.37	-0.05	-0.14	-0.18	0.09	-0.22
AGAP006493			-0.64	-0.56	0.05	-0.39	-0.42	0.52	0.32	-0.29	-0.23	-0.72	-1.07	-0.86	-1.23	-1.04	-1.37	-0.55	-0.35	0.28	0.65	0.0	1.09	-0.55	0.95	0.16	0.1	0.43	0.2	0.64
AGAP011203		eukaryotic translation initiation factor [Source:VB Community Annotation]	0.32	0.52	-0.13	-0.28	-0.13	0.12	0.13	-0.06	-0.08	0.35	0.41	0.46	0.51	0.4	0.46	-0.08	0.25	-0.25	0.27	0.24	0.34	0.19	0.09	-0.08	0.47	0.12	0.22	-0.07
AGAP002196	CYP325G1	cytochrome P450 [Source:VB Community Annotation]	1.23	0.57	-0.43	0.07	1.02	0.63	0.17	0.32	0.67	1.49	0.81	2.72	2.03	2.93	2.25	0.09	0.47	-2.74	-0.48	-0.08	0.05	-0.07	0.98	-0.94	-0.54	-0.73	-0.47	-0.9
AGAP001515			0.58	0.79	0.83	0.04	0.07	-0.5	-0.29	0.12	-0.38	0.54	0.96	0.71	1.11	0.34	0.76	0.53	0.42	-0.86	0.38	0.67	0.62	0.95	-0.04	-0.29	-0.55	-0.44	-0.56	-0.8
AGAP010706			1.9	1.01	-0.48	-0.25	-0.68	0.12	1.42	1.09	0.93	0.46	1.19	0.82	1.53	1.23	1.97	0.4	-0.31	-3.53	2.1	0.94	2.69	-0.42	0.09	-0.67	-0.38	-0.1	0.21	-0.33
AGAP001106		Disconnected protein [Source:VB Community Annotation]	0.64	0.06	-0.23	-0.05	0.04	0.16	0.43	1.49	0.51	-0.47	0.23	-0.25	0.43	-0.04	0.66	-0.1	0.15	-1.02	-0.26	-0.37	-0.76	0.07	0.15	-0.21	-0.13	-0.51	-0.44	-0.48
AGAP007728		mitochondrial intermediate peptidase [Source:VB Community Annotation]	-0.42	0.1	0.38	-0.14	0.12	-0.2	0.05	-0.08	0.16	-0.05	-0.1	-0.23	-0.3	-0.17	-0.23	-0.21	-0.42	0.77	0.6	0.45	0.73	-0.06	0.07	0.4	0.28	0.27	0.35	0.23
AGAP005381		hexosaminidase [Source:VB Community Annotation]	0.44	0.58	-0.29	-0.33	-0.12	0.39	0.2	0.09	0.04	-0.07	0.56	0.19	0.79	0.24	0.87	-0.08	0.21	-0.45	-0.26	-0.18	0.02	0.1	-0.17	-0.17	0.12	-0.06	-0.09	-0.18
AGAP006910	SRPN3	serine protease inhibitor (serpin) 3 [Source:VB Community Annotation]	-0.83	-0.24	0.3	0.26	0.56	-0.16	-0.09	0.76	0.81	-0.66	0.01	-0.88	-0.23	-1.0	-0.33	-1.02	-0.08	1.77	0.29	0.19	0.28	0.43	0.73	-0.6	-0.89	-1.1	-1.09	-1.15
AGAP004359		integrator complex subunit 12 [Source:VB Community Annotation]	-0.55	0.05	0.43	0.3	-0.18	-0.55	-0.26	-0.84	-0.49	-0.16	-2.03	-0.3	-2.18	-0.03	-1.89	-0.68	-1.02	0.4	0.07	0.23	0.03	-0.84	-0.82	0.06	0.22	0.17	0.09	0.13
AGAP011956			0.43	0.59	0.01	0.61	0.34	-0.23	0.49	0.32	0.34	0.23	1.17	0.2	1.12	0.26	1.19	0.52	0.34	-1.02	0.62	0.59	1.4	0.28	0.06	-0.7	-0.79	-0.61	-0.69	-0.7
AGAP012599			1.37	-0.47	0.1	-0.63	-0.54	1.94	1.38	1.11	1.47	-0.31	-0.73	-0.89	-1.33	-1.61	-2.03	-0.02	1.08	-2.6	-0.25	-0.29	-0.28	-1.26	0.92	0.02	0.39	0.17	0.41	0.51
AGAP005222			0.45	-0.49	-1.15	0.68	0.53	-0.11	-0.36	-0.2	-0.22	-0.47	-0.05	-0.22	0.19	-0.05	0.37	-0.3	-0.05	-0.58	0.51	0.26	0.4	0.24	0.78	-0.96	-0.89	-1.16	-1.08	-1.3
AGAP010702		ATP-dependent RNA helicase DDX24/MAK5 [Source:VB Community Annotation]	-0.41	-0.15	0.36	-0.48	-0.23	-0.33	-0.36	-0.89	-0.56	-0.06	-0.13	-0.18	-0.27	-0.41	-0.47	-0.27	-0.18	-0.18	0.25	0.26	-0.19	-0.1	-0.58	0.19	0.13	0.11	0.07	0.19
AGAP001520		protein phosphatase 1, regulatory (inhibitor) subunit 3 [Source:VB Community Annotation]	-0.43	-0.63	0.82	-0.98	-0.01	0.43	1.07	1.12	0.94	-0.67	0.06	-0.83	-0.11	-1.04	-0.31	-0.88	-0.04	1.01	-0.05	0.05	-0.3	1.03	0.91	0.46	0.2	0.26	0.25	0.36
AGAP009006			0.89	-0.06	0.79	0.4	-0.71	1.04	2.12	1.86	1.48	-0.98	-1.02	-0.65	-0.7	-0.76	-0.8	0.06	0.42	-0.74	1.54	0.73	1.89	0.15	0.35	-0.63	-0.2	-0.08	-0.16	-0.27
AGAP010559		transcription initiation factor TFIIH subunit 2 [Source:VB Community Annotation]	-0.55	-0.04	0.42	-0.04	-0.23	-0.14	-0.09	0.11	0.2	-0.2	-0.25	-0.13	-0.19	0.11	0.06	-0.31	-0.68	0.41	-0.22	-0.11	-0.17	-0.3	-0.8	0.32	0.73	0.22	0.29	0.23
AGAP009037			0.43	-0.09	-0.4	0.36	0.22	0.2	0.34	0.17	-0.05	-0.56	-0.34	-0.32	-0.12	-0.49	-0.28	-0.2	-0.08	0.03	-0.19	-0.31	-0.08	0.2	0.46	-0.34	-0.36	-0.5	-0.49	-0.47
AGAP000986	CPAP3-D	cuticular protein [Source:VB Community Annotation]	0.38	0.08	-0.09	-0.2	-0.14	0.07	1.65	2.58	2.62	-0.14	0.03	0.31	0.46	0.21	0.38	0.36	0.06	-1.39	1.17	0.65	1.45	1.07	-0.48	-0.49	-0.36	-0.48	-0.67	-0.93
AGAP007293	IAP7	inhibitor of apoptosis 7 [Source:VB Community Annotation]	2.1	-3.99	-2.32	-2.37	-3.38	2.2	1.7	1.03	1.7	-0.39	-0.05	-0.45	-0.12	-0.6	-0.25	0.8	2.98	-2.21	1.77	0.68	0.93	0.94	0.34	-2.02	-1.15	-2.05	-2.02	-2.0
AGAP004691		LIM domain-binding protein 1 [Source:VB Community Annotation]	-0.29	0.03	0.06	0.05	-0.06	0.0	0.19	0.07	-0.08	-0.26	-0.44	-0.26	-0.45	-0.28	-0.45	-0.04	-0.13	-0.11	0.29	0.16	0.36	-0.59	-0.07	0.03	-0.05	0.11	0.05	0.19
AGAP008764			0.47	0.29	-1.13	0.23	0.74	1.0	0.2	-0.47	-0.53	-1.12	0.59	-1.34	0.36	-0.42	1.31	0.7	0.82	-0.81	-1.01	-1.16	-0.97	-0.11	0.29	-1.13	-0.81	-1.08	-1.13	-1.07
AGAP011816			0.9	0.56	0.16	0.18	0.8	0.23	0.02	0.39	0.47	0.14	1.14	0.02	1.01	0.1	1.11	0.45	0.32	-0.01	-0.14	-0.31	0.16	-0.82	-0.26	0.11	0.11	0.07	0.27	-0.02
AGAP002281			0.42	0.07	0.01	0.05	-0.1	0.14	0.04	-0.08	-0.14	-0.44	-0.11	-0.29	0.03	-0.26	0.08	0.08	0.38	0.03	0.05	-0.09	0.02	-0.01	0.08	-0.06	0.07	0.09	0.01	0.22
AGAP003402			-0.29	-0.11	0.39	-0.29	-0.28	0.04	0.4	0.07	-0.07	-1.04	-0.63	-1.03	-0.64	-1.24	-0.83	-0.39	-0.2	0.42	0.31	0.15	-0.04	-0.31	0.27	-0.09	0.13	0.02	0.03	0.1
AGAP010682			0.86	0.6	-0.66	1.13	0.63	-0.67	-0.75	-0.8	-1.14	1.57	2.44	2.0	2.86	2.06	2.93	1.98	1.65	-1.45	0.17	0.08	-0.26	0.21	0.58	0.17	0.34	0.38	0.14	0.27
AGAP004846	SCRB9	Class B Scavenger Receptor (CD36 domain). [Source:VB Community Annotation]	-0.48	-0.6	-0.18	0.45	-0.02	0.41	0.97	2.77	2.91	-0.47	0.16	0.3	0.92	0.48	1.12	-0.11	-0.21	-2.0	0.69	0.84	0.49	0.32	0.77	-0.67	-0.75	-0.68	-0.69	-0.79
AGAP003424		catenin alpha [Source:VB Community Annotation]	0.3	0.28	-0.05	0.11	0.14	-0.07	-0.23	-0.38	-0.36	-0.83	-0.06	-0.74	0.01	-0.68	0.09	0.38	0.25	0.06	0.4	-0.18	-0.13	0.09	-0.04	-0.38	-0.35	-0.42	-0.47	-0.36
AGAP010698		U3 small nucleolar RNA-associated protein 5 [Source:VB Community Annotation]	-0.44	0.15	0.4	-0.09	-0.13	-0.38	-0.63	-0.8	-0.49	0.1	-0.2	-0.14	-0.45	-0.29	-0.58	-0.38	-0.31	-0.03	0.24	0.07	-0.06	-0.36	-0.59	0.11	0.18	0.03	0.03	0.07
AGAP006115		solute carrier family 4, anion exchanger [Source:VB Community Annotation]	-0.36	-0.34	-0.69	0.09	-0.25	0.06	-0.31	-0.7	-0.8	-0.23	0.3	-0.06	0.45	0.06	0.59	0.1	0.36	-0.63	-0.37	-0.28	-0.29	0.32	-0.01	-0.67	-0.66	-0.6	-0.77	-0.64
AGAP003722	ANXB10C	annexin B10C [Source:VB Community Annotation]	0.45	0.38	-0.4	-0.65	-0.8	-0.07	-0.16	0.11	0.17	-0.13	0.41	-0.03	0.5	0.09	0.63	-0.82	0.17	-1.17	0.5	0.2	0.4	0.02	0.13	-0.5	-0.54	-0.65	-0.66	-0.62
AGAP008668			0.41	0.04	-0.29	0.18	-0.03	0.15	-0.52	-0.32	-0.3	0.45	-0.15	0.5	-0.11	0.43	-0.17	0.37	0.21	0.01	-0.21	-0.26	-0.27	-0.44	0.23	-0.11	-0.2	-0.1	-0.31	-0.14
AGAP006470		Augmenter of liver regeneration [Source:VB Community Annotation]	0.61	-0.05	0.34	-0.03	0.02	-0.61	-0.29	0.21	0.18	-0.23	-0.66	-0.44	-0.88	0.15	-0.27	0.11	-0.36	0.63	0.95	0.34	0.04	-0.65	-0.82	0.18	0.42	0.3	0.52	0.13
AGAP000653		xenotropic and polytropic retrovirus receptor 1 [Source:VB Community Annotation]	-0.38	-0.21	0.19	0.07	0.18	0.12	0.35	0.17	0.06	-0.3	-0.49	-0.39	-0.6	-0.43	-0.62	-0.05	0.16	0.64	0.68	0.42	0.57	-0.47	-0.32	0.33	0.22	0.33	0.17	0.33
AGAP003483			-0.87	-1.94	-0.5	1.52	-0.85	-0.37	0.97	1.11	0.5	1.96	1.17	2.23	1.42	1.93	1.14	-1.06	-0.37	0.92	0.3	1.21	0.77	1.9	1.23	0.04	0.34	0.51	0.64	0.15
AGAP004956		DNA replication licensing factor MCM4 [Source:VB Community Annotation]	-0.6	-0.51	-0.12	-0.4	-0.57	-0.33	-0.35	-0.62	-0.8	-0.03	-0.18	-0.27	-0.43	-0.6	-0.75	0.02	-0.53	0.15	0.19	0.12	0.34	-0.13	0.39	-0.41	-0.73	-0.17	-0.34	-0.23
AGAP011136			-0.68	-0.14	0.51	-0.2	-0.51	0.25	0.29	0.46	0.29	-0.31	-0.35	-0.14	-0.19	-0.18	-0.22	-0.7	0.25	-0.13	1.45	0.23	1.03	-0.36	0.77	-0.23	-0.1	-0.32	-0.25	-0.23
AGAP013145			0.52	-0.14	-0.54	0.18	0.38	0.5	0.55	0.74	0.49	-1.11	0.24	-1.14	0.19	-1.14	0.21	0.05	-0.25	-1.06	-0.91	-0.81	-0.8	0.47	1.53	-0.28	-0.31	-0.38	-0.54	-0.4
AGAP001453			-0.64	0.27	0.54	-0.34	0.1	-0.04	-0.41	-0.99	-0.7	0.33	-0.48	-0.08	-0.91	-0.47	-1.27	0.15	-0.54	-0.37	-0.19	0.29	-0.25	-0.47	-0.19	0.4	0.65	0.25	0.35	0.34
AGAP002557		glucose dehydrogenase (acceptor) [Source:VB Community Annotation]	-0.79	0.69	0.28	0.64	1.42	0.58	1.29	0.67	2.71	-0.57	2.02	-0.39	2.18	-0.95	1.63	-0.54	0.87	1.95	2.0	1.26	1.63	0.46	1.04	-0.72	-0.39	-1.05	-0.37	-1.12
AGAP009946	GSTMS3	glutathione transferase microsomal 3 [Source:VB Community Annotation]	0.83	1.71	0.12	1.17	1.17	1.41	0.57	0.48	1.39	0.46	1.06	0.92	1.5	0.49	1.09	2.38	2.18	0.92	1.66	0.7	1.43	0.46	-0.47	-1.04	0.35	0.81	-0.02	0.1
AGAP002553			0.75	-0.27	-1.18	0.22	0.54	0.27	-0.13	-0.1	-0.59	-0.32	0.0	0.05	0.37	0.14	0.47	0.43	0.36	-1.0	-1.51	-1.25	-0.76	0.08	0.55	-0.4	-0.26	-0.28	-0.29	-0.35
AGAP004624			-0.54	0.21	0.69	0.16	0.17	-0.01	0.06	-0.16	0.07	0.06	-0.44	-0.13	-0.64	-0.03	-0.52	-0.21	-0.56	0.36	0.15	0.31	0.08	-0.14	-0.57	0.07	0.1	-0.14	-0.08	-0.12
AGAP010043			-0.86	-0.57	0.16	-0.8	0.3	-0.27	-0.95	-1.4	-1.07	-0.54	0.51	-0.81	0.23	-0.88	0.17	-0.5	1.46	0.04	2.04	0.32	0.77	-0.24	-0.28	-1.2	-0.75	-0.77	-1.06	-1.19
AGAP001805	RpL13	60S ribosomal protein L13 [Source:UniProtKB/TrEMBL;Acc:Q7PUQ7]	-0.32	-0.04	0.11	-0.16	0.22	0.06	-0.22	0.0	0.11	0.1	0.02	0.08	-0.02	-0.02	-0.1	-0.1	0.08	0.13	-0.23	-0.11	-0.26	1.06	-0.16	0.01	0.0	-0.04	-0.07	0.05
AGAP000311		UNC93-like protein MFSD11 [Source:VB Community Annotation]	-0.75	0.1	0.03	-0.99	-0.33	-0.77	-0.14	-0.67	-0.49	0.18	-1.63	0.49	-1.32	0.07	-1.73	-0.47	-0.04	-0.65	0.09	-0.22	0.14	-0.77	1.0	-0.51	-0.16	-0.1	-0.19	-0.76
AGAP003767			-0.43	0.05	-0.51	0.97	0.95	-0.04	-0.55	-0.44	-0.18	0.36	1.04	0.74	1.41	0.55	1.23	0.67	1.18	-1.09	0.46	0.72	0.7	0.28	-0.49	-0.18	-0.13	-0.22	-0.09	-0.35
AGAP012314			-0.72	-0.18	0.09	-0.68	-0.84	-0.24	-0.61	-0.91	-0.7	0.08	0.35	0.03	0.29	-0.17	0.1	0.22	0.06	0.4	-0.82	-0.98	-0.73	-0.82	-0.82	0.14	-0.21	0.29	-0.09	0.12
AGAP001130		poly(A) RNA polymerase GLD2 [Source:VB Community Annotation]	-0.42	-0.73	0.42	-0.05	-0.02	0.63	0.99	-0.18	-0.12	0.41	-0.64	-0.62	-1.68	-1.01	-2.05	-0.81	-0.67	1.03	1.15	1.31	1.04	-0.71	0.23	0.4	0.39	0.54	0.51	0.89
